AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
1.7|2.0|1.9|550|II(d) Miscellaneous lymphoreticular neoplasms|288616149|0-14|All Races|Male and Female|2006-2010|||
0.2|0.3|0.2|61|II(e) Unspecified lymphomas|288616149|0-14|All Races|Male and Female|2006-2010|||
33.5|34.8|34.2|9877|III CNS and misc intracranial and intraspinal neoplasms|288616149|0-14|All Races|Male and Female|2006-2010|||
2.6|3.0|2.8|819|III(a) Ependymomas and choroid plexus tumor|288616149|0-14|All Races|Male and Female|2006-2010|||
16.0|17.0|16.5|4765|III(b) Astrocytomas|288616149|0-14|All Races|Male and Female|2006-2010|||
7.4|8.0|7.7|2224|III(c) Intracranial and intraspinal embryonal tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
5.8|6.3|6.0|1736|III(d) Other gliomas|288616149|0-14|All Races|Male and Female|2006-2010|||
0.6|0.7|0.6|186|III(e) Other specified intracranial & intraspinal neoplasms|288616149|0-14|All Races|Male and Female|2006-2010|||
0.4|0.6|0.5|147|III(f) Unspecified intracranial and intraspinal neoplasms|288616149|0-14|All Races|Male and Female|2006-2010|||
10.4|11.2|10.8|3180|IV Neuroblastoma and other peripheral nervous cell tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
10.2|11.0|10.6|3130|IV(a) Neuroblastoma and ganglioneuroblastoma|288616149|0-14|All Races|Male and Female|2006-2010|||
0.1|0.2|0.2|50|IV(b) Other peripheral nervous cell tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
10.5|11.3|10.9|3150|IX Soft tissue and other extraosseous sarcomas|288616149|0-14|All Races|Male and Female|2006-2010|||
4.9|5.4|5.2|1495|IX(a) Rhabdomyosarcomas|288616149|0-14|All Races|Male and Female|2006-2010|||
0.9|1.2|1.0|302|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|288616149|0-14|All Races|Male and Female|2006-2010|||
~|~|~|~|IX(c) Kaposi sarcoma|288616149|0-14|All Races|Male and Female|2006-2010|||
3.3|3.8|3.5|1025|IX(d) Other specified soft tissue sarcomas|288616149|0-14|All Races|Male and Female|2006-2010|||
1.0|1.3|1.1|325|IX(e) Unspecified soft tissue sarcomas|288616149|0-14|All Races|Male and Female|2006-2010|||
0.2|0.3|0.3|73|Not classified by ICCC|288616149|0-14|All Races|Male and Female|2006-2010|||
3.9|4.4|4.1|1224|V Retinoblastoma|288616149|0-14|All Races|Male and Female|2006-2010|||
8.3|9.0|8.6|2522|VI Renal tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
7.8|8.5|8.2|2391|VI(a) Nephroblastoma and other nonepithelial renal tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
0.3|0.5|0.4|119|VI(b) Renal carcinomas|288616149|0-14|All Races|Male and Female|2006-2010|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
2.4|2.8|2.6|766|VII Hepatic tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
2.0|2.4|2.2|650|VII(a) Hepatoblastoma|288616149|0-14|All Races|Male and Female|2006-2010|||
0.3|0.5|0.4|110|VII(b) Hepatic carcinomas|288616149|0-14|All Races|Male and Female|2006-2010|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
6.5|7.1|6.8|1954|VIII Malignant bone tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
3.6|4.1|3.8|1102|VIII(a) Osteosarcomas|288616149|0-14|All Races|Male and Female|2006-2010|||
0.1|0.2|0.1|39|VIII(b) Chondrosarcomas|288616149|0-14|All Races|Male and Female|2006-2010|||
2.2|2.5|2.3|675|VIII(c) Ewing tumor and related sarcomas of bone|288616149|0-14|All Races|Male and Female|2006-2010|||
0.2|0.4|0.3|83|VIII(d) Other specified malignant bone tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
0.1|0.2|0.2|55|VIII(e) Unspecified malignant bone tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
5.2|5.7|5.5|1587|X Germ cell, trophoblastic tumors & neoplasms of gonads|288616149|0-14|All Races|Male and Female|2006-2010|||
1.3|1.6|1.4|415|X(a) Intracranial & intraspinal germ cell tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
1.2|1.5|1.3|394|X(b) Malignant extracranial & extragonadal germ cell tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
2.3|2.6|2.4|706|X(c) Malignant gonadal germ cell tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
0.1|0.2|0.1|36|X(d) Gonadal carcinomas|288616149|0-14|All Races|Male and Female|2006-2010|||
0.1|0.2|0.1|36|X(e) Other and unspecified malignant gonadal tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
6.7|7.3|7.0|2027|XI Other malignant epithelial neoplasms and malignant melanomas|288616149|0-14|All Races|Male and Female|2006-2010|||
0.2|0.3|0.2|65|XI(a) Adrenocortical carcinomas|288616149|0-14|All Races|Male and Female|2006-2010|||
2.4|2.8|2.6|743|XI(b) Thyroid carcinomas|288616149|0-14|All Races|Male and Female|2006-2010|||
0.2|0.4|0.3|86|XI(c) Nasopharyngeal carcinomas|288616149|0-14|All Races|Male and Female|2006-2010|||
1.9|2.3|2.1|610|XI(d) Malignant melanomas|288616149|0-14|All Races|Male and Female|2006-2010|||
0.0|0.1|0.1|17|XI(e) Skin carcinomas|288616149|0-14|All Races|Male and Female|2006-2010|||
1.6|1.9|1.8|506|XI(f) Other and unspecified carcinomas|288616149|0-14|All Races|Male and Female|2006-2010|||
0.6|0.8|0.7|203|XII Other and unspecified malignant neoplasms|288616149|0-14|All Races|Male and Female|2006-2010|||
0.3|0.5|0.4|110|XII(a) Other specified malignant tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
0.3|0.4|0.3|93|XII(b) Other unspecified malignant tumors|288616149|0-14|All Races|Male and Female|2006-2010|||
157.2|163.6|160.4|9632|All ICCC Groups Combined|59628198|0-14|All Races|Male and Female|2007|||
50.1|53.7|51.9|3110|I Leukemias, myeloproliferative & myelodysplastic diseases|59628198|0-14|All Races|Male and Female|2007|||
38.3|41.5|39.9|2386|I(a) Lymphoid leukemias|59628198|0-14|All Races|Male and Female|2007|||
7.0|8.4|7.7|461|I(b) Acute myeloid leukemias|59628198|0-14|All Races|Male and Female|2007|||
1.3|1.9|1.6|96|I(c) Chronic myeloproliferative diseases|59628198|0-14|All Races|Male and Female|2007|||
1.2|1.9|1.5|93|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|59628198|0-14|All Races|Male and Female|2007|||
1.0|1.5|1.2|74|I(e) Unspecified and other specified leukemias|59628198|0-14|All Races|Male and Female|2007|||
15.4|17.5|16.4|979|II Lymphomas and reticuloendothelial neoplasms|59628198|0-14|All Races|Male and Female|2007|||
4.8|6.0|5.4|323|II(a) Hodgkin lymphomas|59628198|0-14|All Races|Male and Female|2007|||
6.3|7.6|6.9|413|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|59628198|0-14|All Races|Male and Female|2007|||
2.2|3.1|2.6|154|II(c) Burkitt lymphoma|59628198|0-14|All Races|Male and Female|2007|||
1.0|1.5|1.2|75|II(d) Miscellaneous lymphoreticular neoplasms|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|II(e) Unspecified lymphomas|59628198|0-14|All Races|Male and Female|2007|||
33.3|36.3|34.7|2074|III CNS and misc intracranial and intraspinal neoplasms|59628198|0-14|All Races|Male and Female|2007|||
2.4|3.3|2.8|171|III(a) Ependymomas and choroid plexus tumor|59628198|0-14|All Races|Male and Female|2007|||
15.3|17.4|16.3|973|III(b) Astrocytomas|59628198|0-14|All Races|Male and Female|2007|||
7.1|8.5|7.8|464|III(c) Intracranial and intraspinal embryonal tumors|59628198|0-14|All Races|Male and Female|2007|||
5.9|7.3|6.6|390|III(d) Other gliomas|59628198|0-14|All Races|Male and Female|2007|||
0.5|1.0|0.7|45|III(e) Other specified intracranial & intraspinal neoplasms|59628198|0-14|All Races|Male and Female|2007|||
0.3|0.7|0.5|31|III(f) Unspecified intracranial and intraspinal neoplasms|59628198|0-14|All Races|Male and Female|2007|||
10.8|12.5|11.6|714|IV Neuroblastoma and other peripheral nervous cell tumors|59628198|0-14|All Races|Male and Female|2007|||
10.6|12.3|11.5|703|IV(a) Neuroblastoma and ganglioneuroblastoma|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|59628198|0-14|All Races|Male and Female|2007|||
10.1|11.8|10.9|654|IX Soft tissue and other extraosseous sarcomas|59628198|0-14|All Races|Male and Female|2007|||
5.1|6.3|5.7|339|IX(a) Rhabdomyosarcomas|59628198|0-14|All Races|Male and Female|2007|||
0.9|1.4|1.1|67|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|IX(c) Kaposi sarcoma|59628198|0-14|All Races|Male and Female|2007|||
2.9|3.8|3.3|198|IX(d) Other specified soft tissue sarcomas|59628198|0-14|All Races|Male and Female|2007|||
0.6|1.1|0.8|49|IX(e) Unspecified soft tissue sarcomas|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|Not classified by ICCC|59628198|0-14|All Races|Male and Female|2007|||
3.5|4.5|4.0|247|V Retinoblastoma|59628198|0-14|All Races|Male and Female|2007|||
7.8|9.3|8.5|515|VI Renal tumors|59628198|0-14|All Races|Male and Female|2007|||
7.4|8.8|8.1|489|VI(a) Nephroblastoma and other nonepithelial renal tumors|59628198|0-14|All Races|Male and Female|2007|||
0.3|0.6|0.4|25|VI(b) Renal carcinomas|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|59628198|0-14|All Races|Male and Female|2007|||
2.2|3.0|2.6|156|VII Hepatic tumors|59628198|0-14|All Races|Male and Female|2007|||
1.9|2.6|2.2|137|VII(a) Hepatoblastoma|59628198|0-14|All Races|Male and Female|2007|||
0.2|0.5|0.3|19|VII(b) Hepatic carcinomas|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|59628198|0-14|All Races|Male and Female|2007|||
6.2|7.5|6.8|405|VIII Malignant bone tumors|59628198|0-14|All Races|Male and Female|2007|||
3.2|4.2|3.7|218|VIII(a) Osteosarcomas|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|VIII(b) Chondrosarcomas|59628198|0-14|All Races|Male and Female|2007|||
2.1|2.9|2.5|147|VIII(c) Ewing tumor and related sarcomas of bone|59628198|0-14|All Races|Male and Female|2007|||
0.2|0.4|0.3|16|VIII(d) Other specified malignant bone tumors|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|59628198|0-14|All Races|Male and Female|2007|||
4.9|6.1|5.5|334|X Germ cell, trophoblastic tumors & neoplasms of gonads|59628198|0-14|All Races|Male and Female|2007|||
1.1|1.8|1.4|85|X(a) Intracranial & intraspinal germ cell tumors|59628198|0-14|All Races|Male and Female|2007|||
1.0|1.6|1.3|81|X(b) Malignant extracranial & extragonadal germ cell tumors|59628198|0-14|All Races|Male and Female|2007|||
2.2|3.0|2.6|155|X(c) Malignant gonadal germ cell tumors|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|X(d) Gonadal carcinomas|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|59628198|0-14|All Races|Male and Female|2007|||
5.9|7.2|6.5|391|XI Other malignant epithelial neoplasms and malignant melanomas|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|XI(a) Adrenocortical carcinomas|59628198|0-14|All Races|Male and Female|2007|||
1.8|2.6|2.2|131|XI(b) Thyroid carcinomas|59628198|0-14|All Races|Male and Female|2007|||
0.2|0.4|0.3|16|XI(c) Nasopharyngeal carcinomas|59628198|0-14|All Races|Male and Female|2007|||
1.8|2.6|2.2|131|XI(d) Malignant melanomas|59628198|0-14|All Races|Male and Female|2007|||
~|~|~|~|XI(e) Skin carcinomas|59628198|0-14|All Races|Male and Female|2007|||
1.3|2.0|1.6|96|XI(f) Other and unspecified carcinomas|59628198|0-14|All Races|Male and Female|2007|||
0.5|0.9|0.7|41|XII Other and unspecified malignant neoplasms|59628198|0-14|All Races|Male and Female|2007|||
0.2|0.6|0.4|23|XII(a) Other specified malignant tumors|59628198|0-14|All Races|Male and Female|2007|||
0.2|0.5|0.3|18|XII(b) Other unspecified malignant tumors|59628198|0-14|All Races|Male and Female|2007|||
158.9|165.4|162.1|9774|All ICCC Groups Combined|59850043|0-14|All Races|Male and Female|2008|||
51.7|55.4|53.5|3228|I Leukemias, myeloproliferative & myelodysplastic diseases|59850043|0-14|All Races|Male and Female|2008|||
39.2|42.4|40.7|2454|I(a) Lymphoid leukemias|59850043|0-14|All Races|Male and Female|2008|||
7.3|8.7|8.0|484|I(b) Acute myeloid leukemias|59850043|0-14|All Races|Male and Female|2008|||
1.7|2.4|2.0|124|I(c) Chronic myeloproliferative diseases|59850043|0-14|All Races|Male and Female|2008|||
1.3|2.0|1.6|99|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|59850043|0-14|All Races|Male and Female|2008|||
0.9|1.4|1.1|67|I(e) Unspecified and other specified leukemias|59850043|0-14|All Races|Male and Female|2008|||
15.9|18.0|17.0|1011|II Lymphomas and reticuloendothelial neoplasms|59850043|0-14|All Races|Male and Female|2008|||
5.6|6.9|6.3|372|II(a) Hodgkin lymphomas|59850043|0-14|All Races|Male and Female|2008|||
6.0|7.4|6.7|398|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|59850043|0-14|All Races|Male and Female|2008|||
2.3|3.2|2.7|162|II(c) Burkitt lymphoma|59850043|0-14|All Races|Male and Female|2008|||
0.8|1.3|1.1|65|II(d) Miscellaneous lymphoreticular neoplasms|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|II(e) Unspecified lymphomas|59850043|0-14|All Races|Male and Female|2008|||
32.8|35.8|34.3|2057|III CNS and misc intracranial and intraspinal neoplasms|59850043|0-14|All Races|Male and Female|2008|||
2.3|3.1|2.7|160|III(a) Ependymomas and choroid plexus tumor|59850043|0-14|All Races|Male and Female|2008|||
15.6|17.7|16.6|997|III(b) Astrocytomas|59850043|0-14|All Races|Male and Female|2008|||
7.4|8.9|8.1|489|III(c) Intracranial and intraspinal embryonal tumors|59850043|0-14|All Races|Male and Female|2008|||
5.2|6.4|5.8|346|III(d) Other gliomas|59850043|0-14|All Races|Male and Female|2008|||
0.5|0.9|0.7|42|III(e) Other specified intracranial & intraspinal neoplasms|59850043|0-14|All Races|Male and Female|2008|||
0.2|0.6|0.4|23|III(f) Unspecified intracranial and intraspinal neoplasms|59850043|0-14|All Races|Male and Female|2008|||
10.0|11.7|10.8|666|IV Neuroblastoma and other peripheral nervous cell tumors|59850043|0-14|All Races|Male and Female|2008|||
9.7|11.4|10.5|649|IV(a) Neuroblastoma and ganglioneuroblastoma|59850043|0-14|All Races|Male and Female|2008|||
0.2|0.5|0.3|17|IV(b) Other peripheral nervous cell tumors|59850043|0-14|All Races|Male and Female|2008|||
10.1|11.8|10.9|656|IX Soft tissue and other extraosseous sarcomas|59850043|0-14|All Races|Male and Female|2008|||
4.7|5.9|5.3|318|IX(a) Rhabdomyosarcomas|59850043|0-14|All Races|Male and Female|2008|||
0.7|1.2|0.9|57|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|IX(c) Kaposi sarcoma|59850043|0-14|All Races|Male and Female|2008|||
3.0|3.9|3.4|204|IX(d) Other specified soft tissue sarcomas|59850043|0-14|All Races|Male and Female|2008|||
1.0|1.6|1.3|77|IX(e) Unspecified soft tissue sarcomas|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|Not classified by ICCC|59850043|0-14|All Races|Male and Female|2008|||
3.5|4.5|4.0|249|V Retinoblastoma|59850043|0-14|All Races|Male and Female|2008|||
8.1|9.6|8.9|539|VI Renal tumors|59850043|0-14|All Races|Male and Female|2008|||
7.7|9.1|8.4|511|VI(a) Nephroblastoma and other nonepithelial renal tumors|59850043|0-14|All Races|Male and Female|2008|||
0.3|0.6|0.4|26|VI(b) Renal carcinomas|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|59850043|0-14|All Races|Male and Female|2008|||
2.2|3.1|2.6|161|VII Hepatic tumors|59850043|0-14|All Races|Male and Female|2008|||
1.9|2.6|2.2|138|VII(a) Hepatoblastoma|59850043|0-14|All Races|Male and Female|2008|||
0.2|0.6|0.4|23|VII(b) Hepatic carcinomas|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|59850043|0-14|All Races|Male and Female|2008|||
6.2|7.6|6.9|408|VIII Malignant bone tumors|59850043|0-14|All Races|Male and Female|2008|||
3.4|4.4|3.9|230|VIII(a) Osteosarcomas|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(b) Chondrosarcomas|59850043|0-14|All Races|Male and Female|2008|||
2.1|2.9|2.5|147|VIII(c) Ewing tumor and related sarcomas of bone|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|59850043|0-14|All Races|Male and Female|2008|||
4.7|5.8|5.2|316|X Germ cell, trophoblastic tumors & neoplasms of gonads|59850043|0-14|All Races|Male and Female|2008|||
1.1|1.7|1.3|80|X(a) Intracranial & intraspinal germ cell tumors|59850043|0-14|All Races|Male and Female|2008|||
1.1|1.7|1.4|87|X(b) Malignant extracranial & extragonadal germ cell tumors|59850043|0-14|All Races|Male and Female|2008|||
1.9|2.7|2.3|138|X(c) Malignant gonadal germ cell tumors|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|X(d) Gonadal carcinomas|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|59850043|0-14|All Races|Male and Female|2008|||
6.5|7.9|7.2|431|XI Other malignant epithelial neoplasms and malignant melanomas|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|XI(a) Adrenocortical carcinomas|59850043|0-14|All Races|Male and Female|2008|||
2.2|3.0|2.5|152|XI(b) Thyroid carcinomas|59850043|0-14|All Races|Male and Female|2008|||
0.2|0.5|0.3|17|XI(c) Nasopharyngeal carcinomas|59850043|0-14|All Races|Male and Female|2008|||
1.9|2.7|2.3|136|XI(d) Malignant melanomas|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|XI(e) Skin carcinomas|59850043|0-14|All Races|Male and Female|2008|||
1.5|2.2|1.8|110|XI(f) Other and unspecified carcinomas|59850043|0-14|All Races|Male and Female|2008|||
0.4|0.8|0.6|37|XII Other and unspecified malignant neoplasms|59850043|0-14|All Races|Male and Female|2008|||
0.2|0.5|0.4|22|XII(a) Other specified malignant tumors|59850043|0-14|All Races|Male and Female|2008|||
~|~|~|~|XII(b) Other unspecified malignant tumors|59850043|0-14|All Races|Male and Female|2008|||
156.6|163.0|159.8|9647|All ICCC Groups Combined|60026780|0-14|All Races|Male and Female|2009|||
50.0|53.6|51.8|3136|I Leukemias, myeloproliferative & myelodysplastic diseases|60026780|0-14|All Races|Male and Female|2009|||
38.8|42.0|40.4|2445|I(a) Lymphoid leukemias|60026780|0-14|All Races|Male and Female|2009|||
6.7|8.0|7.3|444|I(b) Acute myeloid leukemias|60026780|0-14|All Races|Male and Female|2009|||
1.3|1.9|1.6|94|I(c) Chronic myeloproliferative diseases|60026780|0-14|All Races|Male and Female|2009|||
1.2|1.8|1.5|89|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|60026780|0-14|All Races|Male and Female|2009|||
0.8|1.4|1.1|64|I(e) Unspecified and other specified leukemias|60026780|0-14|All Races|Male and Female|2009|||
15.5|17.5|16.5|986|II Lymphomas and reticuloendothelial neoplasms|60026780|0-14|All Races|Male and Female|2009|||
5.1|6.3|5.6|336|II(a) Hodgkin lymphomas|60026780|0-14|All Races|Male and Female|2009|||
6.3|7.6|6.9|413|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|60026780|0-14|All Races|Male and Female|2009|||
1.9|2.7|2.3|137|II(c) Burkitt lymphoma|60026780|0-14|All Races|Male and Female|2009|||
1.1|1.8|1.4|87|II(d) Miscellaneous lymphoreticular neoplasms|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|II(e) Unspecified lymphomas|60026780|0-14|All Races|Male and Female|2009|||
32.9|35.8|34.3|2065|III CNS and misc intracranial and intraspinal neoplasms|60026780|0-14|All Races|Male and Female|2009|||
2.1|2.9|2.5|151|III(a) Ependymomas and choroid plexus tumor|60026780|0-14|All Races|Male and Female|2009|||
15.7|17.7|16.7|1003|III(b) Astrocytomas|60026780|0-14|All Races|Male and Female|2009|||
6.8|8.2|7.5|453|III(c) Intracranial and intraspinal embryonal tumors|60026780|0-14|All Races|Male and Female|2009|||
5.9|7.2|6.5|389|III(d) Other gliomas|60026780|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|34|III(e) Other specified intracranial & intraspinal neoplasms|60026780|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|35|III(f) Unspecified intracranial and intraspinal neoplasms|60026780|0-14|All Races|Male and Female|2009|||
9.8|11.5|10.6|651|IV Neuroblastoma and other peripheral nervous cell tumors|60026780|0-14|All Races|Male and Female|2009|||
9.7|11.3|10.5|642|IV(a) Neuroblastoma and ganglioneuroblastoma|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|60026780|0-14|All Races|Male and Female|2009|||
9.7|11.4|10.5|634|IX Soft tissue and other extraosseous sarcomas|60026780|0-14|All Races|Male and Female|2009|||
3.9|4.9|4.4|263|IX(a) Rhabdomyosarcomas|60026780|0-14|All Races|Male and Female|2009|||
1.0|1.6|1.2|75|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|IX(c) Kaposi sarcoma|60026780|0-14|All Races|Male and Female|2009|||
3.3|4.3|3.8|226|IX(d) Other specified soft tissue sarcomas|60026780|0-14|All Races|Male and Female|2009|||
0.9|1.5|1.2|70|IX(e) Unspecified soft tissue sarcomas|60026780|0-14|All Races|Male and Female|2009|||
0.2|0.6|0.4|23|Not classified by ICCC|60026780|0-14|All Races|Male and Female|2009|||
3.8|4.8|4.3|262|V Retinoblastoma|60026780|0-14|All Races|Male and Female|2009|||
8.3|9.9|9.1|554|VI Renal tumors|60026780|0-14|All Races|Male and Female|2009|||
7.8|9.2|8.5|518|VI(a) Nephroblastoma and other nonepithelial renal tumors|60026780|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|34|VI(b) Renal carcinomas|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|60026780|0-14|All Races|Male and Female|2009|||
1.8|2.6|2.2|134|VII Hepatic tumors|60026780|0-14|All Races|Male and Female|2009|||
1.5|2.2|1.8|113|VII(a) Hepatoblastoma|60026780|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|19|VII(b) Hepatic carcinomas|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|60026780|0-14|All Races|Male and Female|2009|||
6.2|7.5|6.8|407|VIII Malignant bone tumors|60026780|0-14|All Races|Male and Female|2009|||
3.4|4.5|3.9|234|VIII(a) Osteosarcomas|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|VIII(b) Chondrosarcomas|60026780|0-14|All Races|Male and Female|2009|||
1.9|2.7|2.2|134|VIII(c) Ewing tumor and related sarcomas of bone|60026780|0-14|All Races|Male and Female|2009|||
0.2|0.6|0.4|23|VIII(d) Other specified malignant bone tumors|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|60026780|0-14|All Races|Male and Female|2009|||
4.8|6.0|5.4|324|X Germ cell, trophoblastic tumors & neoplasms of gonads|60026780|0-14|All Races|Male and Female|2009|||
1.1|1.7|1.4|81|X(a) Intracranial & intraspinal germ cell tumors|60026780|0-14|All Races|Male and Female|2009|||
0.9|1.4|1.1|70|X(b) Malignant extracranial & extragonadal germ cell tumors|60026780|0-14|All Races|Male and Female|2009|||
2.2|3.1|2.6|159|X(c) Malignant gonadal germ cell tumors|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|X(d) Gonadal carcinomas|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|60026780|0-14|All Races|Male and Female|2009|||
6.4|7.8|7.1|422|XI Other malignant epithelial neoplasms and malignant melanomas|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|XI(a) Adrenocortical carcinomas|60026780|0-14|All Races|Male and Female|2009|||
2.4|3.2|2.8|166|XI(b) Thyroid carcinomas|60026780|0-14|All Races|Male and Female|2009|||
0.3|0.6|0.4|24|XI(c) Nasopharyngeal carcinomas|60026780|0-14|All Races|Male and Female|2009|||
1.4|2.1|1.8|105|XI(d) Malignant melanomas|60026780|0-14|All Races|Male and Female|2009|||
~|~|~|~|XI(e) Skin carcinomas|60026780|0-14|All Races|Male and Female|2009|||
1.5|2.2|1.8|108|XI(f) Other and unspecified carcinomas|60026780|0-14|All Races|Male and Female|2009|||
0.6|1.1|0.8|49|XII Other and unspecified malignant neoplasms|60026780|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|20|XII(a) Other specified malignant tumors|60026780|0-14|All Races|Male and Female|2009|||
0.3|0.7|0.5|29|XII(b) Other unspecified malignant tumors|60026780|0-14|All Races|Male and Female|2009|||
160.8|167.3|164.0|9814|All ICCC Groups Combined|59550980|0-14|All Races|Male and Female|2010|||
51.2|54.9|53.1|3184|I Leukemias, myeloproliferative & myelodysplastic diseases|59550980|0-14|All Races|Male and Female|2010|||
38.6|41.8|40.2|2413|I(a) Lymphoid leukemias|59550980|0-14|All Races|Male and Female|2010|||
6.6|8.0|7.3|437|I(b) Acute myeloid leukemias|59550980|0-14|All Races|Male and Female|2010|||
1.6|2.4|2.0|117|I(c) Chronic myeloproliferative diseases|59550980|0-14|All Races|Male and Female|2010|||
1.6|2.3|1.9|114|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|59550980|0-14|All Races|Male and Female|2010|||
1.4|2.1|1.7|103|I(e) Unspecified and other specified leukemias|59550980|0-14|All Races|Male and Female|2010|||
18.1|20.4|19.2|1144|II Lymphomas and reticuloendothelial neoplasms|59550980|0-14|All Races|Male and Female|2010|||
4.7|5.9|5.3|314|II(a) Hodgkin lymphomas|59550980|0-14|All Races|Male and Female|2010|||
6.4|7.7|7.0|417|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|59550980|0-14|All Races|Male and Female|2010|||
2.1|2.9|2.4|145|II(c) Burkitt lymphoma|59550980|0-14|All Races|Male and Female|2010|||
3.8|4.9|4.3|259|II(d) Miscellaneous lymphoreticular neoplasms|59550980|0-14|All Races|Male and Female|2010|||
~|~|~|~|II(e) Unspecified lymphomas|59550980|0-14|All Races|Male and Female|2010|||
32.5|35.4|33.9|2026|III CNS and misc intracranial and intraspinal neoplasms|59550980|0-14|All Races|Male and Female|2010|||
