AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
10-14|2.6|4.2|3.3|67|XI(d) Malignant melanomas|20325535|2005
15-19|16.8|20.6|18.7|384|XI(d) Malignant melanomas|20568825|2005
5-9|1.5|2.9|2.1|39|XI(d) Malignant melanomas|18574692|2005
<1|~|~|~|~|XI(d) Malignant melanomas|3833673|2005
1-4|~|~|~|~|XI(e) Skin carcinomas|15239198|2005
10-14|~|~|~|~|XI(e) Skin carcinomas|20325535|2005
15-19|~|~|~|~|XI(e) Skin carcinomas|20568825|2005
5-9|~|~|~|~|XI(e) Skin carcinomas|18574692|2005
<1|~|~|~|~|XI(e) Skin carcinomas|3833673|2005
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|15239198|2005
10-14|3.1|4.9|3.9|80|XI(f) Other and unspecified carcinomas|20325535|2005
15-19|9.5|12.4|10.9|224|XI(f) Other and unspecified carcinomas|20568825|2005
5-9|0.8|1.9|1.2|23|XI(f) Other and unspecified carcinomas|18574692|2005
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3833673|2005
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|15239198|2005
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20325535|2005
15-19|1.3|2.5|1.8|38|XII Other and unspecified malignant neoplasms|20568825|2005
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|18574692|2005
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3833673|2005
1-4|~|~|~|~|XII(a) Other specified malignant tumors|15239198|2005
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20325535|2005
15-19|~|~|~|~|XII(a) Other specified malignant tumors|20568825|2005
5-9|~|~|~|~|XII(a) Other specified malignant tumors|18574692|2005
<1|~|~|~|~|XII(a) Other specified malignant tumors|3833673|2005
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|15239198|2005
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20325535|2005
15-19|0.8|1.9|1.3|26|XII(b) Other unspecified malignant tumors|20568825|2005
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|18574692|2005
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3833673|2005
1-4|204.1|218.7|211.3|3216|All ICCC Groups Combined|15220617|2006
10-14|128.8|139.0|133.8|2697|All ICCC Groups Combined|20155187|2006
15-19|206.0|218.5|212.2|4430|All ICCC Groups Combined|20880977|2006
5-9|115.7|125.7|120.7|2259|All ICCC Groups Combined|18721527|2006
<1|246.7|279.3|262.6|1016|All ICCC Groups Combined|3868804|2006
1-4|83.4|92.9|88.0|1340|I Leukemias, myeloproliferative & myelodysplastic diseases|15220617|2006
10-14|31.0|36.1|33.5|675|I Leukemias, myeloproliferative & myelodysplastic diseases|20155187|2006
15-19|30.2|35.1|32.6|680|I Leukemias, myeloproliferative & myelodysplastic diseases|20880977|2006
5-9|37.1|42.9|39.9|747|I Leukemias, myeloproliferative & myelodysplastic diseases|18721527|2006
<1|50.6|66.0|57.9|224|I Leukemias, myeloproliferative & myelodysplastic diseases|3868804|2006
1-4|69.5|78.2|73.7|1122|I(a) Lymphoid leukemias|15220617|2006
10-14|19.9|24.1|21.9|442|I(a) Lymphoid leukemias|20155187|2006
15-19|14.9|18.4|16.6|346|I(a) Lymphoid leukemias|20880977|2006
5-9|29.5|34.7|32.0|599|I(a) Lymphoid leukemias|18721527|2006
<1|18.2|28.0|22.7|88|I(a) Lymphoid leukemias|3868804|2006
1-4|8.6|11.8|10.1|154|I(b) Acute myeloid leukemias|15220617|2006
10-14|6.7|9.2|7.9|159|I(b) Acute myeloid leukemias|20155187|2006
15-19|7.8|10.4|9.1|189|I(b) Acute myeloid leukemias|20880977|2006
5-9|3.4|5.4|4.3|81|I(b) Acute myeloid leukemias|18721527|2006
<1|12.7|21.1|16.5|64|I(b) Acute myeloid leukemias|3868804|2006
1-4|0.6|1.7|1.1|16|I(c) Chronic myeloproliferative diseases|15220617|2006
10-14|1.1|2.3|1.6|33|I(c) Chronic myeloproliferative diseases|20155187|2006
15-19|3.2|4.9|4.0|83|I(c) Chronic myeloproliferative diseases|20880977|2006
5-9|0.9|2.0|1.3|25|I(c) Chronic myeloproliferative diseases|18721527|2006
<1|4.0|9.2|6.2|24|I(c) Chronic myeloproliferative diseases|3868804|2006
1-4|1.4|2.9|2.0|31|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|15220617|2006
10-14|0.6|1.6|1.0|21|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20155187|2006
15-19|0.9|1.9|1.3|28|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20880977|2006
5-9|0.7|1.7|1.1|21|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|18721527|2006
<1|5.0|10.8|7.5|29|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3868804|2006
1-4|0.7|1.8|1.1|17|I(e) Unspecified and other specified leukemias|15220617|2006
10-14|0.6|1.5|1.0|20|I(e) Unspecified and other specified leukemias|20155187|2006
15-19|1.1|2.3|1.6|34|I(e) Unspecified and other specified leukemias|20880977|2006
5-9|0.7|1.7|1.1|21|I(e) Unspecified and other specified leukemias|18721527|2006
<1|3.0|7.7|4.9|19|I(e) Unspecified and other specified leukemias|3868804|2006
1-4|7.6|10.6|9.0|137|II Lymphomas and reticuloendothelial neoplasms|15220617|2006
10-14|23.3|27.8|25.5|513|II Lymphomas and reticuloendothelial neoplasms|20155187|2006
15-19|46.3|52.3|49.2|1028|II Lymphomas and reticuloendothelial neoplasms|20880977|2006
5-9|12.9|16.4|14.6|273|II Lymphomas and reticuloendothelial neoplasms|18721527|2006
<1|8.5|15.6|11.6|45|II Lymphomas and reticuloendothelial neoplasms|3868804|2006
1-4|~|~|~|~|II(a) Hodgkin lymphomas|15220617|2006
10-14|11.0|14.1|12.5|252|II(a) Hodgkin lymphomas|20155187|2006
15-19|28.8|33.7|31.2|651|II(a) Hodgkin lymphomas|20880977|2006
5-9|3.7|5.7|4.6|86|II(a) Hodgkin lymphomas|18721527|2006
<1|~|~|~|~|II(a) Hodgkin lymphomas|3868804|2006
1-4|2.8|4.8|3.7|56|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|15220617|2006
10-14|8.0|10.7|9.3|187|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20155187|2006
15-19|13.3|16.6|14.9|311|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20880977|2006
5-9|5.1|7.4|6.2|116|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|18721527|2006
<1|3.4|8.3|5.4|21|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3868804|2006
1-4|1.3|2.8|2.0|30|II(c) Burkitt lymphoma|15220617|2006
10-14|2.3|3.9|3.0|61|II(c) Burkitt lymphoma|20155187|2006
15-19|1.7|3.0|2.3|48|II(c) Burkitt lymphoma|20880977|2006
5-9|2.2|3.8|2.9|55|II(c) Burkitt lymphoma|18721527|2006
<1|~|~|~|~|II(c) Burkitt lymphoma|3868804|2006
1-4|1.4|2.9|2.0|31|II(d) Miscellaneous lymphoreticular neoplasms|15220617|2006
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20155187|2006
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20880977|2006
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|18721527|2006
<1|4.0|9.2|6.2|24|II(d) Miscellaneous lymphoreticular neoplasms|3868804|2006
1-4|~|~|~|~|II(e) Unspecified lymphomas|15220617|2006
10-14|~|~|~|~|II(e) Unspecified lymphomas|20155187|2006
15-19|~|~|~|~|II(e) Unspecified lymphomas|20880977|2006
5-9|~|~|~|~|II(e) Unspecified lymphomas|18721527|2006
<1|~|~|~|~|II(e) Unspecified lymphomas|3868804|2006
1-4|41.4|48.2|44.7|680|III CNS and misc intracranial and intraspinal neoplasms|15220617|2006
10-14|23.2|27.6|25.3|510|III CNS and misc intracranial and intraspinal neoplasms|20155187|2006
15-19|20.7|24.8|22.7|473|III CNS and misc intracranial and intraspinal neoplasms|20880977|2006
5-9|31.2|36.5|33.8|632|III CNS and misc intracranial and intraspinal neoplasms|18721527|2006
<1|29.3|41.3|34.9|135|III CNS and misc intracranial and intraspinal neoplasms|3868804|2006
1-4|3.6|5.9|4.7|71|III(a) Ependymomas and choroid plexus tumor|15220617|2006
10-14|1.3|2.5|1.8|37|III(a) Ependymomas and choroid plexus tumor|20155187|2006
15-19|1.5|2.8|2.1|43|III(a) Ependymomas and choroid plexus tumor|20880977|2006
5-9|1.8|3.2|2.4|45|III(a) Ependymomas and choroid plexus tumor|18721527|2006
<1|4.0|9.2|6.2|24|III(a) Ependymomas and choroid plexus tumor|3868804|2006
1-4|18.0|22.6|20.2|308|III(b) Astrocytomas|15220617|2006
10-14|13.0|16.4|14.6|295|III(b) Astrocytomas|20155187|2006
15-19|10.8|13.9|12.3|256|III(b) Astrocytomas|20880977|2006
5-9|13.3|16.8|15.0|280|III(b) Astrocytomas|18721527|2006
<1|8.7|15.9|11.9|46|III(b) Astrocytomas|3868804|2006
1-4|10.6|14.2|12.3|187|III(c) Intracranial and intraspinal embryonal tumors|15220617|2006
10-14|2.8|4.5|3.6|72|III(c) Intracranial and intraspinal embryonal tumors|20155187|2006
15-19|1.8|3.2|2.4|51|III(c) Intracranial and intraspinal embryonal tumors|20880977|2006
5-9|6.2|8.8|7.4|139|III(c) Intracranial and intraspinal embryonal tumors|18721527|2006
<1|10.0|17.6|13.4|52|III(c) Intracranial and intraspinal embryonal tumors|3868804|2006
1-4|4.8|7.3|5.9|90|III(d) Other gliomas|15220617|2006
10-14|3.7|5.7|4.6|93|III(d) Other gliomas|20155187|2006
15-19|3.8|5.7|4.7|98|III(d) Other gliomas|20880977|2006
5-9|6.5|9.1|7.7|144|III(d) Other gliomas|18721527|2006
<1|~|~|~|~|III(d) Other gliomas|3868804|2006
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15220617|2006
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20155187|2006
15-19|0.4|1.2|0.8|16|III(e) Other specified intracranial & intraspinal neoplasms|20880977|2006
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|18721527|2006
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3868804|2006
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15220617|2006
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20155187|2006
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20880977|2006
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|18721527|2006
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3868804|2006
1-4|17.7|22.3|19.9|303|IV Neuroblastoma and other peripheral nervous cell tumors|15220617|2006
10-14|0.7|1.7|1.1|22|IV Neuroblastoma and other peripheral nervous cell tumors|20155187|2006
15-19|~|~|~|~|IV Neuroblastoma and other peripheral nervous cell tumors|20880977|2006
5-9|2.9|4.7|3.7|69|IV Neuroblastoma and other peripheral nervous cell tumors|18721527|2006
<1|46.2|61.0|53.2|206|IV Neuroblastoma and other peripheral nervous cell tumors|3868804|2006
1-4|17.7|22.3|19.9|303|IV(a) Neuroblastoma and ganglioneuroblastoma|15220617|2006
10-14|0.5|1.4|0.9|18|IV(a) Neuroblastoma and ganglioneuroblastoma|20155187|2006
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|20880977|2006
5-9|2.8|4.6|3.6|68|IV(a) Neuroblastoma and ganglioneuroblastoma|18721527|2006
<1|46.2|61.0|53.2|206|IV(a) Neuroblastoma and ganglioneuroblastoma|3868804|2006
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|15220617|2006
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20155187|2006
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20880977|2006
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|18721527|2006
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3868804|2006
1-4|9.0|12.3|10.6|161|IX Soft tissue and other extraosseous sarcomas|15220617|2006
10-14|9.9|12.9|11.4|229|IX Soft tissue and other extraosseous sarcomas|20155187|2006
15-19|13.0|16.3|14.6|304|IX Soft tissue and other extraosseous sarcomas|20880977|2006
5-9|7.0|9.7|8.3|155|IX Soft tissue and other extraosseous sarcomas|18721527|2006
<1|13.9|22.6|17.8|69|IX Soft tissue and other extraosseous sarcomas|3868804|2006
1-4|5.7|8.4|7.0|106|IX(a) Rhabdomyosarcomas|15220617|2006
10-14|2.8|4.5|3.6|72|IX(a) Rhabdomyosarcomas|20155187|2006
15-19|2.7|4.3|3.4|71|IX(a) Rhabdomyosarcomas|20880977|2006
5-9|3.6|5.6|4.5|85|IX(a) Rhabdomyosarcomas|18721527|2006
<1|3.2|8.0|5.2|20|IX(a) Rhabdomyosarcomas|3868804|2006
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|15220617|2006
10-14|1.0|2.1|1.5|30|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20155187|2006
15-19|1.3|2.6|1.9|39|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20880977|2006
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|18721527|2006
<1|3.0|7.7|4.9|19|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3868804|2006
1-4|~|~|~|~|IX(c) Kaposi sarcoma|15220617|2006
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20155187|2006
15-19|~|~|~|~|IX(c) Kaposi sarcoma|20880977|2006
5-9|~|~|~|~|IX(c) Kaposi sarcoma|18721527|2006
<1|~|~|~|~|IX(c) Kaposi sarcoma|3868804|2006
1-4|1.2|2.6|1.8|27|IX(d) Other specified soft tissue sarcomas|15220617|2006
10-14|4.2|6.2|5.1|103|IX(d) Other specified soft tissue sarcomas|20155187|2006
15-19|6.3|8.7|7.5|156|IX(d) Other specified soft tissue sarcomas|20880977|2006
5-9|1.8|3.2|2.4|45|IX(d) Other specified soft tissue sarcomas|18721527|2006
<1|4.2|9.5|6.5|25|IX(d) Other specified soft tissue sarcomas|3868804|2006
1-4|0.7|1.8|1.1|17|IX(e) Unspecified soft tissue sarcomas|15220617|2006
10-14|0.7|1.7|1.1|23|IX(e) Unspecified soft tissue sarcomas|20155187|2006
15-19|1.2|2.4|1.7|36|IX(e) Unspecified soft tissue sarcomas|20880977|2006
5-9|0.5|1.4|0.9|16|IX(e) Unspecified soft tissue sarcomas|18721527|2006
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3868804|2006
1-4|~|~|~|~|Not classified by ICCC|15220617|2006
10-14|~|~|~|~|Not classified by ICCC|20155187|2006
15-19|~|~|~|~|Not classified by ICCC|20880977|2006
5-9|~|~|~|~|Not classified by ICCC|18721527|2006
<1|~|~|~|~|Not classified by ICCC|3868804|2006
1-4|5.4|8.1|6.6|101|V Retinoblastoma|15220617|2006
10-14|~|~|~|~|V Retinoblastoma|20155187|2006
15-19|~|~|~|~|V Retinoblastoma|20880977|2006
5-9|~|~|~|~|V Retinoblastoma|18721527|2006
<1|26.4|37.9|31.8|123|V Retinoblastoma|3868804|2006
1-4|17.9|22.5|20.1|306|VI Renal tumors|15220617|2006
10-14|0.7|1.7|1.1|23|VI Renal tumors|20155187|2006
15-19|1.6|2.9|2.2|45|VI Renal tumors|20880977|2006
5-9|4.3|6.4|5.3|99|VI Renal tumors|18721527|2006
<1|10.7|18.5|14.2|55|VI Renal tumors|3868804|2006
1-4|17.9|22.4|20.0|305|VI(a) Nephroblastoma and other nonepithelial renal tumors|15220617|2006
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|20155187|2006
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|20880977|2006
5-9|4.1|6.1|5.0|94|VI(a) Nephroblastoma and other nonepithelial renal tumors|18721527|2006
<1|10.7|18.5|14.2|55|VI(a) Nephroblastoma and other nonepithelial renal tumors|3868804|2006
1-4|~|~|~|~|VI(b) Renal carcinomas|15220617|2006
10-14|~|~|~|~|VI(b) Renal carcinomas|20155187|2006
15-19|1.2|2.4|1.8|37|VI(b) Renal carcinomas|20880977|2006
5-9|~|~|~|~|VI(b) Renal carcinomas|18721527|2006
<1|~|~|~|~|VI(b) Renal carcinomas|3868804|2006
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|15220617|2006
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20155187|2006
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|20880977|2006
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|18721527|2006
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3868804|2006
1-4|3.6|5.9|4.7|71|VII Hepatic tumors|15220617|2006
10-14|0.5|1.4|0.8|17|VII Hepatic tumors|20155187|2006
15-19|0.9|2.0|1.4|29|VII Hepatic tumors|20880977|2006
5-9|~|~|~|~|VII Hepatic tumors|18721527|2006
<1|10.7|18.5|14.2|55|VII Hepatic tumors|3868804|2006
1-4|3.5|5.7|4.5|69|VII(a) Hepatoblastoma|15220617|2006
10-14|~|~|~|~|VII(a) Hepatoblastoma|20155187|2006
15-19|~|~|~|~|VII(a) Hepatoblastoma|20880977|2006
5-9|~|~|~|~|VII(a) Hepatoblastoma|18721527|2006
<1|10.0|17.6|13.4|52|VII(a) Hepatoblastoma|3868804|2006
1-4|~|~|~|~|VII(b) Hepatic carcinomas|15220617|2006
10-14|~|~|~|~|VII(b) Hepatic carcinomas|20155187|2006
15-19|0.9|1.9|1.3|27|VII(b) Hepatic carcinomas|20880977|2006
5-9|~|~|~|~|VII(b) Hepatic carcinomas|18721527|2006
<1|~|~|~|~|VII(b) Hepatic carcinomas|3868804|2006
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|15220617|2006
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20155187|2006
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20880977|2006
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|18721527|2006
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3868804|2006
1-4|1.1|2.4|1.6|25|VIII Malignant bone tumors|15220617|2006
10-14|11.2|14.4|12.7|256|VIII Malignant bone tumors|20155187|2006
15-19|14.2|17.7|15.9|332|VIII Malignant bone tumors|20880977|2006
5-9|5.8|8.2|6.9|130|VIII Malignant bone tumors|18721527|2006
<1|~|~|~|~|VIII Malignant bone tumors|3868804|2006
1-4|~|~|~|~|VIII(a) Osteosarcomas|15220617|2006
10-14|6.8|9.3|8.0|161|VIII(a) Osteosarcomas|20155187|2006
15-19|7.9|10.6|9.2|192|VIII(a) Osteosarcomas|20880977|2006
5-9|2.8|4.6|3.6|68|VIII(a) Osteosarcomas|18721527|2006
<1|~|~|~|~|VIII(a) Osteosarcomas|3868804|2006
1-4|~|~|~|~|VIII(b) Chondrosarcomas|15220617|2006
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20155187|2006
15-19|~|~|~|~|VIII(b) Chondrosarcomas|20880977|2006
5-9|~|~|~|~|VIII(b) Chondrosarcomas|18721527|2006
<1|~|~|~|~|VIII(b) Chondrosarcomas|3868804|2006
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|15220617|2006
10-14|2.8|4.5|3.6|72|VIII(c) Ewing tumor and related sarcomas of bone|20155187|2006
15-19|4.1|6.0|5.0|104|VIII(c) Ewing tumor and related sarcomas of bone|20880977|2006
5-9|2.1|3.7|2.8|53|VIII(c) Ewing tumor and related sarcomas of bone|18721527|2006
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3868804|2006
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|15220617|2006
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20155187|2006
15-19|0.7|1.7|1.1|24|VIII(d) Other specified malignant bone tumors|20880977|2006
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|18721527|2006
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3868804|2006
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|15220617|2006
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20155187|2006
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20880977|2006
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|18721527|2006
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3868804|2006
1-4|2.2|4.0|3.0|45|X Germ cell, trophoblastic tumors & neoplasms of gonads|15220617|2006
10-14|5.8|8.1|6.9|139|X Germ cell, trophoblastic tumors & neoplasms of gonads|20155187|2006
15-19|23.2|27.6|25.3|529|X Germ cell, trophoblastic tumors & neoplasms of gonads|20880977|2006
5-9|1.6|3.0|2.2|41|X Germ cell, trophoblastic tumors & neoplasms of gonads|18721527|2006
<1|15.0|24.0|19.1|74|X Germ cell, trophoblastic tumors & neoplasms of gonads|3868804|2006
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|15220617|2006
10-14|2.1|3.6|2.7|55|X(a) Intracranial & intraspinal germ cell tumors|20155187|2006
15-19|1.6|2.9|2.2|46|X(a) Intracranial & intraspinal germ cell tumors|20880977|2006
5-9|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|18721527|2006
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3868804|2006
1-4|1.1|2.5|1.7|26|X(b) Malignant extracranial & extragonadal germ cell tumors|15220617|2006
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20155187|2006
15-19|1.1|2.2|1.6|33|X(b) Malignant extracranial & extragonadal germ cell tumors|20880977|2006
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|18721527|2006
<1|10.3|17.9|13.7|53|X(b) Malignant extracranial & extragonadal germ cell tumors|3868804|2006
1-4|0.7|1.8|1.1|17|X(c) Malignant gonadal germ cell tumors|15220617|2006
10-14|2.7|4.3|3.4|69|X(c) Malignant gonadal germ cell tumors|20155187|2006
15-19|17.3|21.1|19.2|400|X(c) Malignant gonadal germ cell tumors|20880977|2006
5-9|0.7|1.7|1.1|21|X(c) Malignant gonadal germ cell tumors|18721527|2006
<1|2.4|6.7|4.1|16|X(c) Malignant gonadal germ cell tumors|3868804|2006
1-4|~|~|~|~|X(d) Gonadal carcinomas|15220617|2006
10-14|~|~|~|~|X(d) Gonadal carcinomas|20155187|2006
15-19|1.0|2.1|1.5|31|X(d) Gonadal carcinomas|20880977|2006
5-9|~|~|~|~|X(d) Gonadal carcinomas|18721527|2006
<1|~|~|~|~|X(d) Gonadal carcinomas|3868804|2006
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|15220617|2006
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20155187|2006
15-19|0.5|1.4|0.9|19|X(e) Other and unspecified malignant gonadal tumors|20880977|2006
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|18721527|2006
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3868804|2006
1-4|1.2|2.6|1.8|27|XI Other malignant epithelial neoplasms and malignant melanomas|15220617|2006
10-14|13.3|16.7|14.9|301|XI Other malignant epithelial neoplasms and malignant melanomas|20155187|2006
15-19|42.9|48.7|45.7|955|XI Other malignant epithelial neoplasms and malignant melanomas|20880977|2006
5-9|3.5|5.5|4.4|83|XI Other malignant epithelial neoplasms and malignant melanomas|18721527|2006
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|3868804|2006
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|15220617|2006
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20155187|2006
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|20880977|2006
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|18721527|2006
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3868804|2006
1-4|~|~|~|~|XI(b) Thyroid carcinomas|15220617|2006
10-14|4.9|7.1|6.0|120|XI(b) Thyroid carcinomas|20155187|2006
15-19|16.6|20.4|18.4|385|XI(b) Thyroid carcinomas|20880977|2006
5-9|1.0|2.1|1.4|27|XI(b) Thyroid carcinomas|18721527|2006
<1|~|~|~|~|XI(b) Thyroid carcinomas|3868804|2006
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|15220617|2006
10-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20155187|2006
15-19|1.2|2.3|1.7|35|XI(c) Nasopharyngeal carcinomas|20880977|2006
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|18721527|2006
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3868804|2006
1-4|~|~|~|~|XI(d) Malignant melanomas|15220617|2006
10-14|3.6|5.5|4.5|90|XI(d) Malignant melanomas|20155187|2006
15-19|12.7|15.9|14.2|297|XI(d) Malignant melanomas|20880977|2006
5-9|1.1|2.3|1.6|30|XI(d) Malignant melanomas|18721527|2006
<1|~|~|~|~|XI(d) Malignant melanomas|3868804|2006
1-4|~|~|~|~|XI(e) Skin carcinomas|15220617|2006
10-14|~|~|~|~|XI(e) Skin carcinomas|20155187|2006
15-19|~|~|~|~|XI(e) Skin carcinomas|20880977|2006
5-9|~|~|~|~|XI(e) Skin carcinomas|18721527|2006
<1|~|~|~|~|XI(e) Skin carcinomas|3868804|2006
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|15220617|2006
10-14|2.8|4.5|3.6|72|XI(f) Other and unspecified carcinomas|20155187|2006
15-19|9.9|12.8|11.3|235|XI(f) Other and unspecified carcinomas|20880977|2006
5-9|0.7|1.8|1.2|22|XI(f) Other and unspecified carcinomas|18721527|2006
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3868804|2006
1-4|0.7|1.8|1.1|17|XII Other and unspecified malignant neoplasms|15220617|2006
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20155187|2006
15-19|0.8|1.8|1.2|25|XII Other and unspecified malignant neoplasms|20880977|2006
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|18721527|2006
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3868804|2006
1-4|~|~|~|~|XII(a) Other specified malignant tumors|15220617|2006
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20155187|2006
15-19|~|~|~|~|XII(a) Other specified malignant tumors|20880977|2006
5-9|~|~|~|~|XII(a) Other specified malignant tumors|18721527|2006
<1|~|~|~|~|XII(a) Other specified malignant tumors|3868804|2006
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|15220617|2006
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20155187|2006
15-19|~|~|~|~|XII(b) Other unspecified malignant tumors|20880977|2006
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|18721527|2006
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3868804|2006
1-4|217.7|224.4|221.0|16857|All ICCC Groups Combined|76274588|2006-2010
10-14|131.0|135.6|133.3|13144|All ICCC Groups Combined|98608227|2006-2010
15-19|212.1|217.7|214.9|22480|All ICCC Groups Combined|104612854|2006-2010
5-9|121.6|126.1|123.9|11709|All ICCC Groups Combined|94516896|2006-2010
<1|257.3|271.9|264.6|5084|All ICCC Groups Combined|19216438|2006-2010
