AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
20+|0.1|0.1|0.1|Malignant|146|113527847|Female|Diffuse astrocytoma|2010|0.1|0.2|0.1
20+|~|~|~|Benign/Borderline|~|104421375|Female|Embryonal/primitive/medulloblastoma|2004|~|~|~
20+|0.1|0.1|0.1|Malignant|67|104421375|Female|Embryonal/primitive/medulloblastoma|2004|0.0|0.1|0.1
20+|~|~|~|Benign/Borderline|~|105570557|Female|Embryonal/primitive/medulloblastoma|2005|~|~|~
20+|0.1|0.1|0.1|Malignant|81|105570557|Female|Embryonal/primitive/medulloblastoma|2005|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|106756918|Female|Embryonal/primitive/medulloblastoma|2006|~|~|~
20+|0.1|0.1|0.1|Malignant|69|106756918|Female|Embryonal/primitive/medulloblastoma|2006|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|540263219|Female|Embryonal/primitive/medulloblastoma|2006-2010|~|~|~
20+|0.1|0.1|0.1|Malignant|402|540263219|Female|Embryonal/primitive/medulloblastoma|2006-2010|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|110861505|Female|Embryonal/primitive/medulloblastoma|2007|~|~|~
20+|0.1|0.1|0.1|Malignant|88|110861505|Female|Embryonal/primitive/medulloblastoma|2007|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|112086310|Female|Embryonal/primitive/medulloblastoma|2008|~|~|~
20+|0.1|0.1|0.1|Malignant|85|112086310|Female|Embryonal/primitive/medulloblastoma|2008|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|113333902|Female|Embryonal/primitive/medulloblastoma|2009|~|~|~
20+|0.1|0.1|0.1|Malignant|101|113333902|Female|Embryonal/primitive/medulloblastoma|2009|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|113527847|Female|Embryonal/primitive/medulloblastoma|2010|~|~|~
20+|0.0|0.1|0.1|Malignant|69|113527847|Female|Embryonal/primitive/medulloblastoma|2010|0.0|0.1|0.1
20+|0.1|0.1|0.1|Benign/Borderline|101|104421375|Female|Ependymoma variants|2004|0.1|0.1|0.1
20+|~|~|~|Malignant|~|104421375|Female|Ependymoma variants|2004|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|115|105570557|Female|Ependymoma variants|2005|0.1|0.1|0.1
20+|~|~|~|Malignant|~|105570557|Female|Ependymoma variants|2005|~|~|~
20+|0.1|0.2|0.1|Benign/Borderline|135|106756918|Female|Ependymoma variants|2006|0.1|0.1|0.1
20+|~|~|~|Malignant|~|106756918|Female|Ependymoma variants|2006|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|549|540263219|Female|Ependymoma variants|2006-2010|0.1|0.1|0.1
20+|~|~|~|Malignant|~|540263219|Female|Ependymoma variants|2006-2010|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|108|110861505|Female|Ependymoma variants|2007|0.1|0.1|0.1
20+|~|~|~|Malignant|~|110861505|Female|Ependymoma variants|2007|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|106|112086310|Female|Ependymoma variants|2008|0.1|0.1|0.1
20+|~|~|~|Malignant|~|112086310|Female|Ependymoma variants|2008|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|105|113333902|Female|Ependymoma variants|2009|0.1|0.1|0.1
20+|~|~|~|Malignant|~|113333902|Female|Ependymoma variants|2009|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|110|113527847|Female|Ependymoma variants|2010|0.1|0.1|0.1
20+|~|~|~|Malignant|~|113527847|Female|Ependymoma variants|2010|~|~|~
20+|~|~|~|Benign/Borderline|~|104421375|Female|Ependymoma/anaplastic ependymoma|2004|~|~|~
20+|0.2|0.3|0.3|Malignant|270|104421375|Female|Ependymoma/anaplastic ependymoma|2004|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|105570557|Female|Ependymoma/anaplastic ependymoma|2005|~|~|~
20+|0.2|0.3|0.3|Malignant|288|105570557|Female|Ependymoma/anaplastic ependymoma|2005|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|106756918|Female|Ependymoma/anaplastic ependymoma|2006|~|~|~
20+|0.2|0.3|0.3|Malignant|278|106756918|Female|Ependymoma/anaplastic ependymoma|2006|0.2|0.3|0.3
20+|0.0|0.0|0.0|Benign/Borderline|28|540263219|Female|Ependymoma/anaplastic ependymoma|2006-2010|0.0|0.0|0.0
20+|0.3|0.3|0.3|Malignant|1426|540263219|Female|Ependymoma/anaplastic ependymoma|2006-2010|0.3|0.3|0.3
20+|~|~|~|Benign/Borderline|~|110861505|Female|Ependymoma/anaplastic ependymoma|2007|~|~|~
20+|0.2|0.3|0.3|Malignant|284|110861505|Female|Ependymoma/anaplastic ependymoma|2007|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|112086310|Female|Ependymoma/anaplastic ependymoma|2008|~|~|~
20+|0.2|0.3|0.3|Malignant|305|112086310|Female|Ependymoma/anaplastic ependymoma|2008|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|113333902|Female|Ependymoma/anaplastic ependymoma|2009|~|~|~
20+|0.3|0.3|0.3|Malignant|327|113333902|Female|Ependymoma/anaplastic ependymoma|2009|0.3|0.3|0.3
20+|~|~|~|Benign/Borderline|~|113527847|Female|Ependymoma/anaplastic ependymoma|2010|~|~|~
20+|0.2|0.3|0.2|Malignant|276|113527847|Female|Ependymoma/anaplastic ependymoma|2010|0.2|0.3|0.2
20+|~|~|~|Benign/Borderline|~|104421375|Female|Germ Cell Tumors|2004|~|~|~
20+|~|~|~|Malignant|~|104421375|Female|Germ Cell Tumors|2004|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|34|105570557|Female|Germ Cell Tumors|2005|0.0|0.0|0.0
20+|~|~|~|Malignant|~|105570557|Female|Germ Cell Tumors|2005|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|30|106756918|Female|Germ Cell Tumors|2006|0.0|0.0|0.0
20+|~|~|~|Malignant|~|106756918|Female|Germ Cell Tumors|2006|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|151|540263219|Female|Germ Cell Tumors|2006-2010|0.0|0.0|0.0
20+|0.0|0.0|0.0|Malignant|47|540263219|Female|Germ Cell Tumors|2006-2010|0.0|0.0|0.0
20+|0.0|0.0|0.0|Benign/Borderline|33|110861505|Female|Germ Cell Tumors|2007|0.0|0.0|0.0
20+|~|~|~|Malignant|~|110861505|Female|Germ Cell Tumors|2007|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|31|112086310|Female|Germ Cell Tumors|2008|0.0|0.0|0.0
20+|~|~|~|Malignant|~|112086310|Female|Germ Cell Tumors|2008|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|34|113333902|Female|Germ Cell Tumors|2009|0.0|0.0|0.0
20+|~|~|~|Malignant|~|113333902|Female|Germ Cell Tumors|2009|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|27|113527847|Female|Germ Cell Tumors|2010|0.0|0.0|0.0
20+|~|~|~|Malignant|~|113527847|Female|Germ Cell Tumors|2010|~|~|~
20+|~|~|~|Benign/Borderline|~|104421375|Female|Glioblastoma|2004|~|~|~
20+|3.4|3.6|3.5|Malignant|3913|104421375|Female|Glioblastoma|2004|3.6|3.9|3.7
20+|~|~|~|Benign/Borderline|~|105570557|Female|Glioblastoma|2005|~|~|~
20+|3.4|3.6|3.5|Malignant|4000|105570557|Female|Glioblastoma|2005|3.7|3.9|3.8
20+|~|~|~|Benign/Borderline|~|106756918|Female|Glioblastoma|2006|~|~|~
20+|3.4|3.7|3.6|Malignant|4110|106756918|Female|Glioblastoma|2006|3.7|4.0|3.8
20+|~|~|~|Benign/Borderline|~|540263219|Female|Glioblastoma|2006-2010|~|~|~
20+|3.5|3.6|3.5|Malignant|20899|540263219|Female|Glioblastoma|2006-2010|3.8|3.9|3.9
20+|~|~|~|Benign/Borderline|~|110861505|Female|Glioblastoma|2007|~|~|~
20+|3.5|3.7|3.6|Malignant|4300|110861505|Female|Glioblastoma|2007|3.8|4.0|3.9
20+|~|~|~|Benign/Borderline|~|112086310|Female|Glioblastoma|2008|~|~|~
20+|3.4|3.6|3.5|Malignant|4325|112086310|Female|Glioblastoma|2008|3.7|4.0|3.9
20+|~|~|~|Benign/Borderline|~|113333902|Female|Glioblastoma|2009|~|~|~
20+|3.4|3.6|3.5|Malignant|4365|113333902|Female|Glioblastoma|2009|3.7|4.0|3.9
20+|~|~|~|Benign/Borderline|~|113527847|Female|Glioblastoma|2010|~|~|~
20+|3.4|3.6|3.5|Malignant|4397|113527847|Female|Glioblastoma|2010|3.8|4.0|3.9
20+|~|~|~|Benign/Borderline|~|104421375|Female|Glioma malignant, NOS|2004|~|~|~
20+|0.3|0.4|0.4|Malignant|399|104421375|Female|Glioma malignant, NOS|2004|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|105570557|Female|Glioma malignant, NOS|2005|~|~|~
20+|0.3|0.4|0.3|Malignant|373|105570557|Female|Glioma malignant, NOS|2005|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|106756918|Female|Glioma malignant, NOS|2006|~|~|~
20+|0.3|0.4|0.3|Malignant|381|106756918|Female|Glioma malignant, NOS|2006|0.3|0.4|0.4
20+|0.0|0.0|0.0|Benign/Borderline|38|540263219|Female|Glioma malignant, NOS|2006-2010|0.0|0.0|0.0
20+|0.3|0.4|0.3|Malignant|1988|540263219|Female|Glioma malignant, NOS|2006-2010|0.4|0.4|0.4
20+|~|~|~|Benign/Borderline|~|110861505|Female|Glioma malignant, NOS|2007|~|~|~
20+|0.3|0.4|0.3|Malignant|404|110861505|Female|Glioma malignant, NOS|2007|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|112086310|Female|Glioma malignant, NOS|2008|~|~|~
20+|0.3|0.4|0.4|Malignant|422|112086310|Female|Glioma malignant, NOS|2008|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|113333902|Female|Glioma malignant, NOS|2009|~|~|~
20+|0.4|0.4|0.4|Malignant|487|113333902|Female|Glioma malignant, NOS|2009|0.4|0.5|0.4
20+|~|~|~|Benign/Borderline|~|113527847|Female|Glioma malignant, NOS|2010|~|~|~
20+|0.3|0.3|0.3|Malignant|370|113527847|Female|Glioma malignant, NOS|2010|0.3|0.4|0.3
20+|0.2|0.2|0.2|Benign/Borderline|193|104421375|Female|Hemangioblastoma|2004|0.2|0.2|0.2
20+|~|~|~|Malignant|~|104421375|Female|Hemangioblastoma|2004|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|213|105570557|Female|Hemangioblastoma|2005|0.2|0.2|0.2
20+|~|~|~|Malignant|~|105570557|Female|Hemangioblastoma|2005|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|204|106756918|Female|Hemangioblastoma|2006|0.2|0.2|0.2
20+|~|~|~|Malignant|~|106756918|Female|Hemangioblastoma|2006|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|1032|540263219|Female|Hemangioblastoma|2006-2010|0.2|0.2|0.2
20+|~|~|~|Malignant|~|540263219|Female|Hemangioblastoma|2006-2010|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|203|110861505|Female|Hemangioblastoma|2007|0.2|0.2|0.2
20+|~|~|~|Malignant|~|110861505|Female|Hemangioblastoma|2007|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|230|112086310|Female|Hemangioblastoma|2008|0.2|0.2|0.2
20+|~|~|~|Malignant|~|112086310|Female|Hemangioblastoma|2008|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|214|113333902|Female|Hemangioblastoma|2009|0.2|0.2|0.2
20+|~|~|~|Malignant|~|113333902|Female|Hemangioblastoma|2009|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|207|113527847|Female|Hemangioblastoma|2010|0.2|0.2|0.2
20+|~|~|~|Malignant|~|113527847|Female|Hemangioblastoma|2010|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|213|104421375|Female|Hemangioma|2004|0.2|0.2|0.2
20+|~|~|~|Malignant|~|104421375|Female|Hemangioma|2004|~|~|~
20+|0.2|0.3|0.2|Benign/Borderline|252|105570557|Female|Hemangioma|2005|0.2|0.3|0.2
20+|~|~|~|Malignant|~|105570557|Female|Hemangioma|2005|~|~|~
20+|0.2|0.3|0.3|Benign/Borderline|281|106756918|Female|Hemangioma|2006|0.2|0.3|0.3
20+|~|~|~|Malignant|~|106756918|Female|Hemangioma|2006|~|~|~
20+|0.4|0.4|0.4|Benign/Borderline|2012|540263219|Female|Hemangioma|2006-2010|0.4|0.4|0.4
20+|~|~|~|Malignant|~|540263219|Female|Hemangioma|2006-2010|~|~|~
20+|0.3|0.3|0.3|Benign/Borderline|336|110861505|Female|Hemangioma|2007|0.3|0.3|0.3
20+|~|~|~|Malignant|~|110861505|Female|Hemangioma|2007|~|~|~
20+|0.3|0.4|0.4|Benign/Borderline|413|112086310|Female|Hemangioma|2008|0.3|0.4|0.4
20+|~|~|~|Malignant|~|112086310|Female|Hemangioma|2008|~|~|~
20+|0.4|0.4|0.4|Benign/Borderline|452|113333902|Female|Hemangioma|2009|0.4|0.4|0.4
20+|~|~|~|Malignant|~|113333902|Female|Hemangioma|2009|~|~|~
20+|0.4|0.5|0.5|Benign/Borderline|561|113527847|Female|Hemangioma|2010|0.5|0.5|0.5
20+|~|~|~|Malignant|~|113527847|Female|Hemangioma|2010|~|~|~
20+|~|~|~|Benign/Borderline|~|104421375|Female|Local Extensions from Regional Tumors|2004|~|~|~
20+|0.0|0.0|0.0|Malignant|24|104421375|Female|Local Extensions from Regional Tumors|2004|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|105570557|Female|Local Extensions from Regional Tumors|2005|~|~|~
20+|0.0|0.0|0.0|Malignant|20|105570557|Female|Local Extensions from Regional Tumors|2005|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|106756918|Female|Local Extensions from Regional Tumors|2006|~|~|~
20+|0.0|0.0|0.0|Malignant|17|106756918|Female|Local Extensions from Regional Tumors|2006|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|540263219|Female|Local Extensions from Regional Tumors|2006-2010|~|~|~
20+|0.0|0.0|0.0|Malignant|106|540263219|Female|Local Extensions from Regional Tumors|2006-2010|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|110861505|Female|Local Extensions from Regional Tumors|2007|~|~|~
20+|0.0|0.0|0.0|Malignant|25|110861505|Female|Local Extensions from Regional Tumors|2007|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|112086310|Female|Local Extensions from Regional Tumors|2008|~|~|~
20+|0.0|0.0|0.0|Malignant|20|112086310|Female|Local Extensions from Regional Tumors|2008|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|113333902|Female|Local Extensions from Regional Tumors|2009|~|~|~
20+|0.0|0.0|0.0|Malignant|24|113333902|Female|Local Extensions from Regional Tumors|2009|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|113527847|Female|Local Extensions from Regional Tumors|2010|~|~|~
20+|0.0|0.0|0.0|Malignant|21|113527847|Female|Local Extensions from Regional Tumors|2010|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|104421375|Female|Lymphomas and Hematopoietic Neoplasms|2004|~|~|~
20+|0.5|0.6|0.5|Malignant|570|104421375|Female|Lymphomas and Hematopoietic Neoplasms|2004|0.5|0.6|0.5
20+|~|~|~|Benign/Borderline|~|105570557|Female|Lymphomas and Hematopoietic Neoplasms|2005|~|~|~
20+|0.5|0.6|0.6|Malignant|642|105570557|Female|Lymphomas and Hematopoietic Neoplasms|2005|0.6|0.7|0.6
20+|~|~|~|Benign/Borderline|~|106756918|Female|Lymphomas and Hematopoietic Neoplasms|2006|~|~|~
20+|0.5|0.6|0.6|Malignant|648|106756918|Female|Lymphomas and Hematopoietic Neoplasms|2006|0.6|0.7|0.6
20+|~|~|~|Benign/Borderline|~|540263219|Female|Lymphomas and Hematopoietic Neoplasms|2006-2010|~|~|~
20+|0.5|0.6|0.6|Malignant|3224|540263219|Female|Lymphomas and Hematopoietic Neoplasms|2006-2010|0.6|0.6|0.6
20+|~|~|~|Benign/Borderline|~|110861505|Female|Lymphomas and Hematopoietic Neoplasms|2007|~|~|~
20+|0.5|0.6|0.5|Malignant|615|110861505|Female|Lymphomas and Hematopoietic Neoplasms|2007|0.5|0.6|0.6
20+|~|~|~|Benign/Borderline|~|112086310|Female|Lymphomas and Hematopoietic Neoplasms|2008|~|~|~
20+|0.5|0.6|0.6|Malignant|682|112086310|Female|Lymphomas and Hematopoietic Neoplasms|2008|0.6|0.7|0.6
20+|~|~|~|Benign/Borderline|~|113333902|Female|Lymphomas and Hematopoietic Neoplasms|2009|~|~|~
20+|0.5|0.6|0.5|Malignant|641|113333902|Female|Lymphomas and Hematopoietic Neoplasms|2009|0.5|0.6|0.6
20+|~|~|~|Benign/Borderline|~|113527847|Female|Lymphomas and Hematopoietic Neoplasms|2010|~|~|~
20+|0.5|0.6|0.6|Malignant|716|113527847|Female|Lymphomas and Hematopoietic Neoplasms|2010|0.6|0.7|0.6
20+|11.5|11.9|11.7|Benign/Borderline|13035|104421375|Female|Meningioma|2004|12.3|12.7|12.5
20+|0.2|0.3|0.2|Malignant|271|104421375|Female|Meningioma|2004|0.2|0.3|0.3
20+|12.9|13.3|13.1|Benign/Borderline|14837|105570557|Female|Meningioma|2005|13.8|14.3|14.1
20+|0.2|0.3|0.2|Malignant|272|105570557|Female|Meningioma|2005|0.2|0.3|0.3
20+|13.3|13.7|13.5|Benign/Borderline|15624|106756918|Female|Meningioma|2006|14.4|14.9|14.6
20+|0.2|0.2|0.2|Malignant|242|106756918|Female|Meningioma|2006|0.2|0.3|0.2
20+|14.0|14.2|14.1|Benign/Borderline|83267|540263219|Female|Meningioma|2006-2010|15.3|15.5|15.4
20+|0.2|0.2|0.2|Malignant|1054|540263219|Female|Meningioma|2006-2010|0.2|0.2|0.2
20+|13.6|14.0|13.8|Benign/Borderline|16575|110861505|Female|Meningioma|2007|14.7|15.2|15.0
20+|0.2|0.2|0.2|Malignant|260|110861505|Female|Meningioma|2007|0.2|0.3|0.2
20+|14.1|14.5|14.3|Benign/Borderline|17487|112086310|Female|Meningioma|2008|15.4|15.8|15.6
20+|0.1|0.2|0.2|Malignant|205|112086310|Female|Meningioma|2008|0.2|0.2|0.2
20+|14.7|15.1|14.9|Benign/Borderline|18565|113333902|Female|Meningioma|2009|16.1|16.6|16.4
20+|0.1|0.2|0.2|Malignant|196|113333902|Female|Meningioma|2009|0.1|0.2|0.2
20+|13.5|13.9|13.7|Benign/Borderline|17171|113527847|Female|Meningioma|2010|14.9|15.4|15.1
20+|0.1|0.2|0.1|Malignant|176|113527847|Female|Meningioma|2010|0.1|0.2|0.2
20+|~|~|~|Benign/Borderline|~|104421375|Female|Mixed glioma|2004|~|~|~
20+|0.2|0.2|0.2|Malignant|183|104421375|Female|Mixed glioma|2004|0.2|0.2|0.2
20+|~|~|~|Benign/Borderline|~|105570557|Female|Mixed glioma|2005|~|~|~
20+|0.2|0.3|0.2|Malignant|226|105570557|Female|Mixed glioma|2005|0.2|0.2|0.2
20+|~|~|~|Benign/Borderline|~|106756918|Female|Mixed glioma|2006|~|~|~
20+|0.2|0.3|0.2|Malignant|254|106756918|Female|Mixed glioma|2006|0.2|0.3|0.2
20+|~|~|~|Benign/Borderline|~|540263219|Female|Mixed glioma|2006-2010|~|~|~
20+|0.2|0.2|0.2|Malignant|1194|540263219|Female|Mixed glioma|2006-2010|0.2|0.2|0.2
20+|~|~|~|Benign/Borderline|~|110861505|Female|Mixed glioma|2007|~|~|~
20+|0.2|0.2|0.2|Malignant|226|110861505|Female|Mixed glioma|2007|0.2|0.2|0.2
20+|~|~|~|Benign/Borderline|~|112086310|Female|Mixed glioma|2008|~|~|~
20+|0.2|0.3|0.2|Malignant|248|112086310|Female|Mixed glioma|2008|0.2|0.3|0.2
20+|~|~|~|Benign/Borderline|~|113333902|Female|Mixed glioma|2009|~|~|~
20+|0.2|0.3|0.2|Malignant|261|113333902|Female|Mixed glioma|2009|0.2|0.3|0.2
20+|~|~|~|Benign/Borderline|~|113527847|Female|Mixed glioma|2010|~|~|~
20+|0.2|0.2|0.2|Malignant|239|113527847|Female|Mixed glioma|2010|0.2|0.2|0.2
20+|0.5|0.6|0.6|Benign/Borderline|662|104421375|Female|Neoplasm, unspecified|2004|0.6|0.7|0.6
20+|0.5|0.6|0.6|Malignant|683|104421375|Female|Neoplasm, unspecified|2004|0.6|0.7|0.7
20+|0.7|0.8|0.7|Benign/Borderline|833|105570557|Female|Neoplasm, unspecified|2005|0.7|0.8|0.8
20+|0.5|0.6|0.6|Malignant|713|105570557|Female|Neoplasm, unspecified|2005|0.6|0.7|0.7
20+|0.6|0.7|0.6|Benign/Borderline|749|106756918|Female|Neoplasm, unspecified|2006|0.7|0.8|0.7
20+|0.5|0.6|0.6|Malignant|698|106756918|Female|Neoplasm, unspecified|2006|0.6|0.7|0.7
20+|0.6|0.7|0.6|Benign/Borderline|3831|540263219|Female|Neoplasm, unspecified|2006-2010|0.7|0.7|0.7
20+|0.5|0.5|0.5|Malignant|3347|540263219|Female|Neoplasm, unspecified|2006-2010|0.6|0.6|0.6
20+|0.6|0.7|0.7|Benign/Borderline|790|110861505|Female|Neoplasm, unspecified|2007|0.7|0.8|0.7
20+|0.5|0.5|0.5|Malignant|647|110861505|Female|Neoplasm, unspecified|2007|0.5|0.6|0.6
20+|0.6|0.7|0.6|Benign/Borderline|786|112086310|Female|Neoplasm, unspecified|2008|0.7|0.8|0.7
20+|0.5|0.6|0.6|Malignant|743|112086310|Female|Neoplasm, unspecified|2008|0.6|0.7|0.7
20+|0.6|0.7|0.7|Benign/Borderline|850|113333902|Female|Neoplasm, unspecified|2009|0.7|0.8|0.7
20+|0.5|0.6|0.6|Malignant|764|113333902|Female|Neoplasm, unspecified|2009|0.6|0.7|0.7
20+|0.5|0.6|0.6|Benign/Borderline|710|113527847|Female|Neoplasm, unspecified|2010|0.6|0.7|0.6
20+|0.4|0.5|0.4|Malignant|593|113527847|Female|Neoplasm, unspecified|2010|0.5|0.6|0.5
20+|2.1|2.3|2.2|Benign/Borderline|2330|104421375|Female|Nerve sheath, benign and malignant|2004|2.1|2.3|2.2
20+|0.0|0.0|0.0|Malignant|20|104421375|Female|Nerve sheath, benign and malignant|2004|0.0|0.0|0.0
20+|2.3|2.5|2.4|Benign/Borderline|2567|105570557|Female|Nerve sheath, benign and malignant|2005|2.3|2.5|2.4
20+|0.0|0.0|0.0|Malignant|22|105570557|Female|Nerve sheath, benign and malignant|2005|0.0|0.0|0.0
20+|2.3|2.5|2.4|Benign/Borderline|2660|106756918|Female|Nerve sheath, benign and malignant|2006|2.4|2.6|2.5
20+|0.0|0.0|0.0|Malignant|22|106756918|Female|Nerve sheath, benign and malignant|2006|0.0|0.0|0.0
20+|2.3|2.3|2.3|Benign/Borderline|12995|540263219|Female|Nerve sheath, benign and malignant|2006-2010|2.4|2.4|2.4
20+|0.0|0.0|0.0|Malignant|121|540263219|Female|Nerve sheath, benign and malignant|2006-2010|0.0|0.0|0.0
20+|2.2|2.4|2.3|Benign/Borderline|2692|110861505|Female|Nerve sheath, benign and malignant|2007|2.3|2.5|2.4
20+|0.0|0.0|0.0|Malignant|40|110861505|Female|Nerve sheath, benign and malignant|2007|0.0|0.0|0.0
20+|2.3|2.4|2.3|Benign/Borderline|2749|112086310|Female|Nerve sheath, benign and malignant|2008|2.4|2.5|2.5
20+|0.0|0.0|0.0|Malignant|25|112086310|Female|Nerve sheath, benign and malignant|2008|0.0|0.0|0.0
20+|2.2|2.4|2.3|Benign/Borderline|2798|113333902|Female|Nerve sheath, benign and malignant|2009|2.4|2.6|2.5
20+|~|~|~|Malignant|~|113333902|Female|Nerve sheath, benign and malignant|2009|~|~|~
20+|2.0|2.1|2.1|Benign/Borderline|2468|113527847|Female|Nerve sheath, benign and malignant|2010|2.1|2.3|2.2
20+|0.0|0.0|0.0|Malignant|21|113527847|Female|Nerve sheath, benign and malignant|2010|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|104421375|Female|Neuroepithelial|2004|~|~|~
20+|0.0|0.0|0.0|Malignant|18|104421375|Female|Neuroepithelial|2004|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|105570557|Female|Neuroepithelial|2005|~|~|~
20+|0.0|0.0|0.0|Malignant|21|105570557|Female|Neuroepithelial|2005|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|106756918|Female|Neuroepithelial|2006|~|~|~
20+|~|~|~|Malignant|~|106756918|Female|Neuroepithelial|2006|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|17|540263219|Female|Neuroepithelial|2006-2010|0.0|0.0|0.0
20+|0.0|0.0|0.0|Malignant|102|540263219|Female|Neuroepithelial|2006-2010|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|110861505|Female|Neuroepithelial|2007|~|~|~
20+|0.0|0.0|0.0|Malignant|20|110861505|Female|Neuroepithelial|2007|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|112086310|Female|Neuroepithelial|2008|~|~|~
20+|0.0|0.0|0.0|Malignant|26|112086310|Female|Neuroepithelial|2008|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|113333902|Female|Neuroepithelial|2009|~|~|~
20+|0.0|0.0|0.0|Malignant|21|113333902|Female|Neuroepithelial|2009|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|113527847|Female|Neuroepithelial|2010|~|~|~
20+|0.0|0.0|0.0|Malignant|24|113527847|Female|Neuroepithelial|2010|0.0|0.0|0.0
20+|0.1|0.2|0.1|Benign/Borderline|143|104421375|Female|Neuronal/glial, neuronal|2004|0.1|0.2|0.1
20+|~|~|~|Malignant|~|104421375|Female|Neuronal/glial, neuronal|2004|~|~|~
20+|0.1|0.2|0.2|Benign/Borderline|170|105570557|Female|Neuronal/glial, neuronal|2005|0.1|0.2|0.2
20+|0.0|0.0|0.0|Malignant|20|105570557|Female|Neuronal/glial, neuronal|2005|0.0|0.0|0.0
20+|0.1|0.2|0.2|Benign/Borderline|176|106756918|Female|Neuronal/glial, neuronal|2006|0.1|0.2|0.2
20+|~|~|~|Malignant|~|106756918|Female|Neuronal/glial, neuronal|2006|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|966|540263219|Female|Neuronal/glial, neuronal|2006-2010|0.2|0.2|0.2
20+|0.0|0.0|0.0|Malignant|91|540263219|Female|Neuronal/glial, neuronal|2006-2010|0.0|0.0|0.0
20+|0.1|0.2|0.2|Benign/Borderline|189|110861505|Female|Neuronal/glial, neuronal|2007|0.1|0.2|0.2
20+|0.0|0.0|0.0|Malignant|21|110861505|Female|Neuronal/glial, neuronal|2007|0.0|0.0|0.0
20+|0.1|0.2|0.2|Benign/Borderline|188|112086310|Female|Neuronal/glial, neuronal|2008|0.1|0.2|0.2
20+|0.0|0.0|0.0|Malignant|23|112086310|Female|Neuronal/glial, neuronal|2008|0.0|0.0|0.0
20+|0.2|0.2|0.2|Benign/Borderline|205|113333902|Female|Neuronal/glial, neuronal|2009|0.2|0.2|0.2
20+|0.0|0.0|0.0|Malignant|19|113333902|Female|Neuronal/glial, neuronal|2009|0.0|0.0|0.0
20+|0.2|0.2|0.2|Benign/Borderline|232|113527847|Female|Neuronal/glial, neuronal|2010|0.2|0.2|0.2
