AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
15-19|~|~|~|~|Incidence|50882506|Male and Female Breast, <i>in situ</i>|2006-2010
5-9|~|~|~|~|Incidence|46231116|Male and Female Breast, <i>in situ</i>|2006-2010
<1|~|~|~|~|Incidence|9398714|Male and Female Breast, <i>in situ</i>|2006-2010
1-4|~|~|~|~|Mortality|80493679|Melanomas of the Skin|2006-2010
10-14|~|~|~|~|Mortality|103921534|Melanomas of the Skin|2006-2010
15-19|0.0|0.0|0.0|36|Mortality|110259356|Melanomas of the Skin|2006-2010
5-9|~|~|~|~|Mortality|99703770|Melanomas of the Skin|2006-2010
<1|~|~|~|~|Mortality|20279753|Melanomas of the Skin|2006-2010
1-4|0.1|0.1|0.1|61|Incidence|76274588|Melanomas of the Skin|2006-2010
10-14|0.3|0.4|0.3|311|Incidence|98608227|Melanomas of the Skin|2006-2010
15-19|1.2|1.3|1.2|1294|Incidence|104612854|Melanomas of the Skin|2006-2010
5-9|0.1|0.2|0.1|129|Incidence|94516896|Melanomas of the Skin|2006-2010
<1|0.3|0.5|0.4|77|Incidence|19216438|Melanomas of the Skin|2006-2010
1-4|~|~|~|~|Mortality|80493679|Mesothelioma|2006-2010
10-14|~|~|~|~|Mortality|103921534|Mesothelioma|2006-2010
15-19|~|~|~|~|Mortality|110259356|Mesothelioma|2006-2010
5-9|~|~|~|~|Mortality|99703770|Mesothelioma|2006-2010
<1|~|~|~|~|Mortality|20279753|Mesothelioma|2006-2010
1-4|~|~|~|~|Incidence|76274588|Mesothelioma|2006-2010
10-14|~|~|~|~|Incidence|98608227|Mesothelioma|2006-2010
15-19|~|~|~|~|Incidence|104612854|Mesothelioma|2006-2010
5-9|~|~|~|~|Incidence|94516896|Mesothelioma|2006-2010
<1|~|~|~|~|Incidence|19216438|Mesothelioma|2006-2010
1-4|~|~|~|~|Mortality|80493679|Myeloma|2006-2010
10-14|~|~|~|~|Mortality|103921534|Myeloma|2006-2010
15-19|~|~|~|~|Mortality|110259356|Myeloma|2006-2010
5-9|~|~|~|~|Mortality|99703770|Myeloma|2006-2010
<1|~|~|~|~|Mortality|20279753|Myeloma|2006-2010
1-4|~|~|~|~|Incidence|76274588|Myeloma|2006-2010
10-14|~|~|~|~|Incidence|98608227|Myeloma|2006-2010
15-19|~|~|~|~|Incidence|104612854|Myeloma|2006-2010
5-9|~|~|~|~|Incidence|94516896|Myeloma|2006-2010
<1|~|~|~|~|Incidence|19216438|Myeloma|2006-2010
1-4|0.0|0.0|0.0|26|Mortality|80493679|Non-Hodgkin Lymphoma|2006-2010
10-14|0.1|0.1|0.1|98|Mortality|103921534|Non-Hodgkin Lymphoma|2006-2010
15-19|0.2|0.2|0.2|223|Mortality|110259356|Non-Hodgkin Lymphoma|2006-2010
5-9|0.1|0.1|0.1|66|Mortality|99703770|Non-Hodgkin Lymphoma|2006-2010
<1|~|~|~|~|Mortality|20279753|Non-Hodgkin Lymphoma|2006-2010
1-4|0.6|0.7|0.7|498|Incidence|76274588|Non-Hodgkin Lymphoma|2006-2010
10-14|1.1|1.3|1.2|1192|Incidence|98608227|Non-Hodgkin Lymphoma|2006-2010
15-19|1.6|1.8|1.7|1773|Incidence|104612854|Non-Hodgkin Lymphoma|2006-2010
5-9|1.0|1.1|1.0|970|Incidence|94516896|Non-Hodgkin Lymphoma|2006-2010
<1|0.4|0.6|0.5|89|Incidence|19216438|Non-Hodgkin Lymphoma|2006-2010
1-4|~|~|~|~|Mortality|80493679|Oral Cavity and Pharynx|2006-2010
10-14|~|~|~|~|Mortality|103921534|Oral Cavity and Pharynx|2006-2010
15-19|0.0|0.0|0.0|30|Mortality|110259356|Oral Cavity and Pharynx|2006-2010
5-9|~|~|~|~|Mortality|99703770|Oral Cavity and Pharynx|2006-2010
<1|~|~|~|~|Mortality|20279753|Oral Cavity and Pharynx|2006-2010
1-4|0.0|0.1|0.1|50|Incidence|76274588|Oral Cavity and Pharynx|2006-2010
10-14|0.3|0.3|0.3|291|Incidence|98608227|Oral Cavity and Pharynx|2006-2010
15-19|0.4|0.5|0.5|504|Incidence|104612854|Oral Cavity and Pharynx|2006-2010
5-9|0.1|0.1|0.1|105|Incidence|94516896|Oral Cavity and Pharynx|2006-2010
<1|0.1|0.1|0.1|18|Incidence|19216438|Oral Cavity and Pharynx|2006-2010
1-4|~|~|~|~|Mortality|39366522|Ovary|2006-2010
10-14|~|~|~|~|Mortality|50730486|Ovary|2006-2010
15-19|0.0|0.1|0.1|29|Mortality|53639723|Ovary|2006-2010
5-9|~|~|~|~|Mortality|48770089|Ovary|2006-2010
<1|~|~|~|~|Mortality|9918676|Ovary|2006-2010
1-4|0.0|0.1|0.1|23|Incidence|37302130|Ovary|2006-2010
10-14|0.6|0.8|0.7|334|Incidence|48137036|Ovary|2006-2010
15-19|1.2|1.4|1.3|652|Incidence|50882506|Ovary|2006-2010
5-9|0.2|0.3|0.3|117|Incidence|46231116|Ovary|2006-2010
<1|~|~|~|~|Incidence|9398714|Ovary|2006-2010
1-4|~|~|~|~|Mortality|80493679|Pancreas|2006-2010
10-14|~|~|~|~|Mortality|103921534|Pancreas|2006-2010
15-19|~|~|~|~|Mortality|110259356|Pancreas|2006-2010
5-9|~|~|~|~|Mortality|99703770|Pancreas|2006-2010
<1|~|~|~|~|Mortality|20279753|Pancreas|2006-2010
1-4|~|~|~|~|Incidence|76274588|Pancreas|2006-2010
10-14|0.0|0.0|0.0|21|Incidence|98608227|Pancreas|2006-2010
15-19|0.0|0.1|0.1|54|Incidence|104612854|Pancreas|2006-2010
5-9|~|~|~|~|Incidence|94516896|Pancreas|2006-2010
<1|~|~|~|~|Incidence|19216438|Pancreas|2006-2010
1-4|~|~|~|~|Mortality|41127157|Prostate|2006-2010
10-14|~|~|~|~|Mortality|53191048|Prostate|2006-2010
15-19|~|~|~|~|Mortality|56619633|Prostate|2006-2010
5-9|~|~|~|~|Mortality|50933681|Prostate|2006-2010
<1|~|~|~|~|Mortality|10361077|Prostate|2006-2010
1-4|0.0|0.1|0.0|17|Incidence|38972458|Prostate|2006-2010
10-14|~|~|~|~|Incidence|50471191|Prostate|2006-2010
15-19|0.0|0.1|0.0|17|Incidence|53730348|Prostate|2006-2010
5-9|~|~|~|~|Incidence|48285780|Prostate|2006-2010
<1|~|~|~|~|Incidence|9817724|Prostate|2006-2010
1-4|~|~|~|~|Mortality|80493679|Stomach|2006-2010
10-14|~|~|~|~|Mortality|103921534|Stomach|2006-2010
15-19|0.0|0.0|0.0|16|Mortality|110259356|Stomach|2006-2010
5-9|~|~|~|~|Mortality|99703770|Stomach|2006-2010
<1|~|~|~|~|Mortality|20279753|Stomach|2006-2010
1-4|~|~|~|~|Incidence|76274588|Stomach|2006-2010
10-14|~|~|~|~|Incidence|98608227|Stomach|2006-2010
15-19|0.0|0.1|0.1|67|Incidence|104612854|Stomach|2006-2010
5-9|~|~|~|~|Incidence|94516896|Stomach|2006-2010
<1|~|~|~|~|Incidence|19216438|Stomach|2006-2010
1-4|~|~|~|~|Mortality|41127157|Testis|2006-2010
10-14|~|~|~|~|Mortality|53191048|Testis|2006-2010
15-19|0.0|0.1|0.1|29|Mortality|56619633|Testis|2006-2010
5-9|~|~|~|~|Mortality|50933681|Testis|2006-2010
<1|~|~|~|~|Mortality|10361077|Testis|2006-2010
1-4|0.3|0.4|0.3|131|Incidence|38972458|Testis|2006-2010
10-14|0.2|0.3|0.2|109|Incidence|50471191|Testis|2006-2010
15-19|3.3|3.6|3.5|1856|Incidence|53730348|Testis|2006-2010
5-9|0.1|0.1|0.1|41|Incidence|48285780|Testis|2006-2010
<1|0.9|1.4|1.1|112|Incidence|9817724|Testis|2006-2010
1-4|~|~|~|~|Mortality|80493679|Thyroid|2006-2010
10-14|~|~|~|~|Mortality|103921534|Thyroid|2006-2010
15-19|~|~|~|~|Mortality|110259356|Thyroid|2006-2010
5-9|~|~|~|~|Mortality|99703770|Thyroid|2006-2010
<1|~|~|~|~|Mortality|20279753|Thyroid|2006-2010
1-4|~|~|~|~|Incidence|76274588|Thyroid|2006-2010
10-14|0.6|0.7|0.6|620|Incidence|98608227|Thyroid|2006-2010
15-19|2.2|2.4|2.3|2375|Incidence|104612854|Thyroid|2006-2010
5-9|0.1|0.1|0.1|111|Incidence|94516896|Thyroid|2006-2010
<1|~|~|~|~|Incidence|19216438|Thyroid|2006-2010
1-4|~|~|~|~|Mortality|80493679|Urinary Bladder|2006-2010
10-14|~|~|~|~|Mortality|103921534|Urinary Bladder|2006-2010
15-19|~|~|~|~|Mortality|110259356|Urinary Bladder|2006-2010
5-9|~|~|~|~|Mortality|99703770|Urinary Bladder|2006-2010
<1|~|~|~|~|Mortality|20279753|Urinary Bladder|2006-2010
1-4|0.0|0.1|0.1|40|Incidence|76274588|Urinary Bladder|2006-2010
10-14|~|~|~|~|Incidence|98608227|Urinary Bladder|2006-2010
15-19|0.1|0.1|0.1|85|Incidence|104612854|Urinary Bladder|2006-2010
5-9|0.0|0.0|0.0|19|Incidence|94516896|Urinary Bladder|2006-2010
<1|0.0|0.1|0.1|16|Incidence|19216438|Urinary Bladder|2006-2010
1-4|2.1|2.5|2.3|364|Mortality|15977965|All Cancer Sites Combined|2007
10-14|2.1|2.5|2.3|479|Mortality|20841042|All Cancer Sites Combined|2007
15-19|2.8|3.3|3.0|673|Mortality|22067816|All Cancer Sites Combined|2007
5-9|2.2|2.7|2.4|480|Mortality|19714611|All Cancer Sites Combined|2007
<1|1.4|2.2|1.7|72|Mortality|4147997|All Cancer Sites Combined|2007
1-4|21.5|23.0|22.2|3488|Incidence|15697941|All Cancer Sites Combined|2007
10-14|12.6|13.6|13.1|2679|Incidence|20483595|All Cancer Sites Combined|2007
15-19|21.1|22.3|21.7|4710|Incidence|21687308|All Cancer Sites Combined|2007
5-9|11.9|12.9|12.3|2392|Incidence|19371679|All Cancer Sites Combined|2007
<1|24.8|28.0|26.3|1073|Incidence|4074983|All Cancer Sites Combined|2007
1-4|0.6|0.8|0.7|109|Mortality|15977965|Brain and Other Nervous System|2007
10-14|0.5|0.7|0.6|130|Mortality|20841042|Brain and Other Nervous System|2007
15-19|0.3|0.5|0.4|95|Mortality|22067816|Brain and Other Nervous System|2007
5-9|0.7|1.0|0.9|172|Mortality|19714611|Brain and Other Nervous System|2007
<1|~|~|~|~|Mortality|4147997|Brain and Other Nervous System|2007
1-4|4.1|4.8|4.4|694|Incidence|15697941|Brain and Other Nervous System|2007
10-14|2.6|3.1|2.8|581|Incidence|20483595|Brain and Other Nervous System|2007
15-19|2.0|2.4|2.2|482|Incidence|21687308|Brain and Other Nervous System|2007
5-9|3.3|3.8|3.5|682|Incidence|19371679|Brain and Other Nervous System|2007
<1|3.7|5.0|4.3|174|Incidence|4074983|Brain and Other Nervous System|2007
1-4|~|~|~|~|Mortality|7813088|Cervix|2007
10-14|~|~|~|~|Mortality|10170082|Cervix|2007
15-19|~|~|~|~|Mortality|10731326|Cervix|2007
5-9|~|~|~|~|Mortality|9640683|Cervix|2007
<1|~|~|~|~|Mortality|2027181|Cervix|2007
1-4|~|~|~|~|Incidence|7676265|Cervix|2007
10-14|~|~|~|~|Incidence|9995934|Cervix|2007
15-19|0.1|0.3|0.2|21|Incidence|10545338|Cervix|2007
5-9|~|~|~|~|Incidence|9473383|Cervix|2007
<1|~|~|~|~|Incidence|1991377|Cervix|2007
1-4|~|~|~|~|Mortality|15977965|Colon and Rectum|2007
10-14|~|~|~|~|Mortality|20841042|Colon and Rectum|2007
15-19|~|~|~|~|Mortality|22067816|Colon and Rectum|2007
5-9|~|~|~|~|Mortality|19714611|Colon and Rectum|2007
<1|~|~|~|~|Mortality|4147997|Colon and Rectum|2007
1-4|~|~|~|~|Incidence|15697941|Colon and Rectum|2007
10-14|~|~|~|~|Incidence|20483595|Colon and Rectum|2007
15-19|0.2|0.4|0.3|60|Incidence|21687308|Colon and Rectum|2007
5-9|~|~|~|~|Incidence|19371679|Colon and Rectum|2007
<1|~|~|~|~|Incidence|4074983|Colon and Rectum|2007
1-4|~|~|~|~|Mortality|7813088|Corpus and Uterus, NOS|2007
10-14|~|~|~|~|Mortality|10170082|Corpus and Uterus, NOS|2007
15-19|~|~|~|~|Mortality|10731326|Corpus and Uterus, NOS|2007
5-9|~|~|~|~|Mortality|9640683|Corpus and Uterus, NOS|2007
<1|~|~|~|~|Mortality|2027181|Corpus and Uterus, NOS|2007
1-4|~|~|~|~|Incidence|7676265|Corpus and Uterus, NOS|2007
10-14|~|~|~|~|Incidence|9995934|Corpus and Uterus, NOS|2007
15-19|~|~|~|~|Incidence|10545338|Corpus and Uterus, NOS|2007
5-9|~|~|~|~|Incidence|9473383|Corpus and Uterus, NOS|2007
<1|~|~|~|~|Incidence|1991377|Corpus and Uterus, NOS|2007
1-4|~|~|~|~|Mortality|15977965|Esophagus|2007
10-14|~|~|~|~|Mortality|20841042|Esophagus|2007
15-19|~|~|~|~|Mortality|22067816|Esophagus|2007
5-9|~|~|~|~|Mortality|19714611|Esophagus|2007
<1|~|~|~|~|Mortality|4147997|Esophagus|2007
1-4|~|~|~|~|Incidence|15697941|Esophagus|2007
10-14|~|~|~|~|Incidence|20483595|Esophagus|2007
15-19|~|~|~|~|Incidence|21687308|Esophagus|2007
5-9|~|~|~|~|Incidence|19371679|Esophagus|2007
<1|~|~|~|~|Incidence|4074983|Esophagus|2007
1-4|~|~|~|~|Mortality|7813088|Female Breast|2007
10-14|~|~|~|~|Mortality|10170082|Female Breast|2007
15-19|~|~|~|~|Mortality|10731326|Female Breast|2007
5-9|~|~|~|~|Mortality|9640683|Female Breast|2007
<1|~|~|~|~|Mortality|2027181|Female Breast|2007
1-4|~|~|~|~|Incidence|7676265|Female Breast|2007
10-14|~|~|~|~|Incidence|9995934|Female Breast|2007
15-19|0.1|0.3|0.2|20|Incidence|10545338|Female Breast|2007
5-9|~|~|~|~|Incidence|9473383|Female Breast|2007
<1|~|~|~|~|Incidence|1991377|Female Breast|2007
1-4|~|~|~|~|Incidence|7676265|Female Breast, <i>in situ</i>|2007
10-14|~|~|~|~|Incidence|9995934|Female Breast, <i>in situ</i>|2007
15-19|~|~|~|~|Incidence|10545338|Female Breast, <i>in situ</i>|2007
5-9|~|~|~|~|Incidence|9473383|Female Breast, <i>in situ</i>|2007
<1|~|~|~|~|Incidence|1991377|Female Breast, <i>in situ</i>|2007
1-4|~|~|~|~|Mortality|15977965|Hodgkin Lymphoma|2007
10-14|~|~|~|~|Mortality|20841042|Hodgkin Lymphoma|2007
15-19|0.0|0.1|0.1|16|Mortality|22067816|Hodgkin Lymphoma|2007
5-9|~|~|~|~|Mortality|19714611|Hodgkin Lymphoma|2007
<1|~|~|~|~|Mortality|4147997|Hodgkin Lymphoma|2007
1-4|~|~|~|~|Incidence|15697941|Hodgkin Lymphoma|2007
10-14|1.0|1.3|1.2|243|Incidence|20483595|Hodgkin Lymphoma|2007
15-19|2.9|3.4|3.2|687|Incidence|21687308|Hodgkin Lymphoma|2007
5-9|0.3|0.5|0.4|69|Incidence|19371679|Hodgkin Lymphoma|2007
<1|~|~|~|~|Incidence|4074983|Hodgkin Lymphoma|2007
1-4|.|.|.|.|Mortality|15977965|Kaposi Sarcoma|2007
10-14|.|.|.|.|Mortality|20841042|Kaposi Sarcoma|2007
15-19|.|.|.|.|Mortality|22067816|Kaposi Sarcoma|2007
5-9|.|.|.|.|Mortality|19714611|Kaposi Sarcoma|2007
<1|.|.|.|.|Mortality|4147997|Kaposi Sarcoma|2007
1-4|~|~|~|~|Incidence|15697941|Kaposi Sarcoma|2007
10-14|~|~|~|~|Incidence|20483595|Kaposi Sarcoma|2007
15-19|~|~|~|~|Incidence|21687308|Kaposi Sarcoma|2007
5-9|~|~|~|~|Incidence|19371679|Kaposi Sarcoma|2007
<1|~|~|~|~|Incidence|4074983|Kaposi Sarcoma|2007
1-4|~|~|~|~|Mortality|15977965|Kidney and Renal Pelvis|2007
10-14|~|~|~|~|Mortality|20841042|Kidney and Renal Pelvis|2007
15-19|~|~|~|~|Mortality|22067816|Kidney and Renal Pelvis|2007
5-9|0.1|0.1|0.1|17|Mortality|19714611|Kidney and Renal Pelvis|2007
<1|~|~|~|~|Mortality|4147997|Kidney and Renal Pelvis|2007
1-4|1.7|2.2|1.9|306|Incidence|15697941|Kidney and Renal Pelvis|2007
10-14|0.1|0.2|0.1|30|Incidence|20483595|Kidney and Renal Pelvis|2007
15-19|0.1|0.3|0.2|43|Incidence|21687308|Kidney and Renal Pelvis|2007
5-9|0.5|0.7|0.6|120|Incidence|19371679|Kidney and Renal Pelvis|2007
<1|1.4|2.3|1.8|73|Incidence|4074983|Kidney and Renal Pelvis|2007
1-4|~|~|~|~|Mortality|15977965|Larynx|2007
10-14|~|~|~|~|Mortality|20841042|Larynx|2007
15-19|~|~|~|~|Mortality|22067816|Larynx|2007
5-9|~|~|~|~|Mortality|19714611|Larynx|2007
<1|~|~|~|~|Mortality|4147997|Larynx|2007
1-4|~|~|~|~|Incidence|15697941|Larynx|2007
10-14|~|~|~|~|Incidence|20483595|Larynx|2007
15-19|~|~|~|~|Incidence|21687308|Larynx|2007
5-9|~|~|~|~|Incidence|19371679|Larynx|2007
<1|~|~|~|~|Incidence|4074983|Larynx|2007
1-4|0.5|0.8|0.7|106|Mortality|15977965|Leukemias|2007
10-14|0.7|1.0|0.8|175|Mortality|20841042|Leukemias|2007
15-19|0.8|1.1|0.9|202|Mortality|22067816|Leukemias|2007
5-9|0.6|0.8|0.7|139|Mortality|19714611|Leukemias|2007
<1|0.3|0.8|0.5|21|Mortality|4147997|Leukemias|2007
1-4|8.8|9.7|9.2|1449|Incidence|15697941|Leukemias|2007
10-14|2.6|3.1|2.9|589|Incidence|20483595|Leukemias|2007
15-19|2.7|3.2|3.0|641|Incidence|21687308|Leukemias|2007
5-9|3.8|4.4|4.1|786|Incidence|19371679|Leukemias|2007
<1|3.8|5.1|4.4|179|Incidence|4074983|Leukemias|2007
1-4|0.1|0.2|0.1|19|Mortality|15977965|Liver and Intrahepatic Bile Duct|2007
10-14|~|~|~|~|Mortality|20841042|Liver and Intrahepatic Bile Duct|2007
15-19|~|~|~|~|Mortality|22067816|Liver and Intrahepatic Bile Duct|2007
5-9|~|~|~|~|Mortality|19714611|Liver and Intrahepatic Bile Duct|2007
<1|~|~|~|~|Mortality|4147997|Liver and Intrahepatic Bile Duct|2007
1-4|0.5|0.7|0.6|89|Incidence|15697941|Liver and Intrahepatic Bile Duct|2007
10-14|0.1|0.1|0.1|18|Incidence|20483595|Liver and Intrahepatic Bile Duct|2007
15-19|0.1|0.2|0.2|37|Incidence|21687308|Liver and Intrahepatic Bile Duct|2007
5-9|0.1|0.2|0.1|20|Incidence|19371679|Liver and Intrahepatic Bile Duct|2007
<1|0.9|1.6|1.2|48|Incidence|4074983|Liver and Intrahepatic Bile Duct|2007
1-4|~|~|~|~|Mortality|15977965|Lung and Bronchus|2007
10-14|~|~|~|~|Mortality|20841042|Lung and Bronchus|2007
15-19|~|~|~|~|Mortality|22067816|Lung and Bronchus|2007
5-9|~|~|~|~|Mortality|19714611|Lung and Bronchus|2007
<1|~|~|~|~|Mortality|4147997|Lung and Bronchus|2007
1-4|~|~|~|~|Incidence|15697941|Lung and Bronchus|2007
10-14|~|~|~|~|Incidence|20483595|Lung and Bronchus|2007
15-19|0.1|0.2|0.1|25|Incidence|21687308|Lung and Bronchus|2007
5-9|~|~|~|~|Incidence|19371679|Lung and Bronchus|2007
<1|~|~|~|~|Incidence|4074983|Lung and Bronchus|2007
1-4|~|~|~|~|Mortality|7813088|Male and Female Breast|2007
10-14|~|~|~|~|Mortality|10170082|Male and Female Breast|2007
15-19|~|~|~|~|Mortality|10731326|Male and Female Breast|2007
5-9|~|~|~|~|Mortality|9640683|Male and Female Breast|2007
<1|~|~|~|~|Mortality|2027181|Male and Female Breast|2007
1-4|~|~|~|~|Incidence|7676265|Male and Female Breast|2007
10-14|~|~|~|~|Incidence|9995934|Male and Female Breast|2007
15-19|0.1|0.3|0.2|20|Incidence|10545338|Male and Female Breast|2007
5-9|~|~|~|~|Incidence|9473383|Male and Female Breast|2007
<1|~|~|~|~|Incidence|1991377|Male and Female Breast|2007
1-4|~|~|~|~|Incidence|7676265|Male and Female Breast, <i>in situ</i>|2007
10-14|~|~|~|~|Incidence|9995934|Male and Female Breast, <i>in situ</i>|2007
15-19|~|~|~|~|Incidence|10545338|Male and Female Breast, <i>in situ</i>|2007
5-9|~|~|~|~|Incidence|9473383|Male and Female Breast, <i>in situ</i>|2007
<1|~|~|~|~|Incidence|1991377|Male and Female Breast, <i>in situ</i>|2007
1-4|~|~|~|~|Mortality|15977965|Melanomas of the Skin|2007
10-14|~|~|~|~|Mortality|20841042|Melanomas of the Skin|2007
15-19|~|~|~|~|Mortality|22067816|Melanomas of the Skin|2007
5-9|~|~|~|~|Mortality|19714611|Melanomas of the Skin|2007
<1|~|~|~|~|Mortality|4147997|Melanomas of the Skin|2007
1-4|~|~|~|~|Incidence|15697941|Melanomas of the Skin|2007
10-14|0.2|0.4|0.3|65|Incidence|20483595|Melanomas of the Skin|2007
15-19|1.3|1.6|1.5|317|Incidence|21687308|Melanomas of the Skin|2007
5-9|0.1|0.2|0.2|30|Incidence|19371679|Melanomas of the Skin|2007
<1|~|~|~|~|Incidence|4074983|Melanomas of the Skin|2007
1-4|~|~|~|~|Mortality|15977965|Mesothelioma|2007
10-14|~|~|~|~|Mortality|20841042|Mesothelioma|2007
15-19|~|~|~|~|Mortality|22067816|Mesothelioma|2007
5-9|~|~|~|~|Mortality|19714611|Mesothelioma|2007
<1|~|~|~|~|Mortality|4147997|Mesothelioma|2007
1-4|~|~|~|~|Incidence|15697941|Mesothelioma|2007
10-14|~|~|~|~|Incidence|20483595|Mesothelioma|2007
15-19|~|~|~|~|Incidence|21687308|Mesothelioma|2007
5-9|~|~|~|~|Incidence|19371679|Mesothelioma|2007
<1|~|~|~|~|Incidence|4074983|Mesothelioma|2007
1-4|~|~|~|~|Mortality|15977965|Myeloma|2007
10-14|~|~|~|~|Mortality|20841042|Myeloma|2007
15-19|~|~|~|~|Mortality|22067816|Myeloma|2007
5-9|~|~|~|~|Mortality|19714611|Myeloma|2007
<1|~|~|~|~|Mortality|4147997|Myeloma|2007
1-4|~|~|~|~|Incidence|15697941|Myeloma|2007
10-14|~|~|~|~|Incidence|20483595|Myeloma|2007
15-19|~|~|~|~|Incidence|21687308|Myeloma|2007
5-9|~|~|~|~|Incidence|19371679|Myeloma|2007
<1|~|~|~|~|Incidence|4074983|Myeloma|2007
1-4|~|~|~|~|Mortality|15977965|Non-Hodgkin Lymphoma|2007
10-14|0.1|0.1|0.1|20|Mortality|20841042|Non-Hodgkin Lymphoma|2007
15-19|0.2|0.3|0.2|47|Mortality|22067816|Non-Hodgkin Lymphoma|2007
5-9|~|~|~|~|Mortality|19714611|Non-Hodgkin Lymphoma|2007
<1|~|~|~|~|Mortality|4147997|Non-Hodgkin Lymphoma|2007
1-4|0.5|0.7|0.6|90|Incidence|15697941|Non-Hodgkin Lymphoma|2007
10-14|1.2|1.5|1.3|269|Incidence|20483595|Non-Hodgkin Lymphoma|2007
15-19|1.5|1.9|1.7|368|Incidence|21687308|Non-Hodgkin Lymphoma|2007
5-9|0.9|1.2|1.0|203|Incidence|19371679|Non-Hodgkin Lymphoma|2007
<1|0.2|0.7|0.4|17|Incidence|4074983|Non-Hodgkin Lymphoma|2007
1-4|~|~|~|~|Mortality|15977965|Oral Cavity and Pharynx|2007
10-14|~|~|~|~|Mortality|20841042|Oral Cavity and Pharynx|2007
15-19|~|~|~|~|Mortality|22067816|Oral Cavity and Pharynx|2007
5-9|~|~|~|~|Mortality|19714611|Oral Cavity and Pharynx|2007
<1|~|~|~|~|Mortality|4147997|Oral Cavity and Pharynx|2007
1-4|~|~|~|~|Incidence|15697941|Oral Cavity and Pharynx|2007
10-14|0.2|0.3|0.2|47|Incidence|20483595|Oral Cavity and Pharynx|2007
15-19|0.4|0.6|0.5|100|Incidence|21687308|Oral Cavity and Pharynx|2007
5-9|0.1|0.2|0.1|20|Incidence|19371679|Oral Cavity and Pharynx|2007
<1|~|~|~|~|Incidence|4074983|Oral Cavity and Pharynx|2007
1-4|~|~|~|~|Mortality|7813088|Ovary|2007
10-14|~|~|~|~|Mortality|10170082|Ovary|2007
15-19|~|~|~|~|Mortality|10731326|Ovary|2007
5-9|~|~|~|~|Mortality|9640683|Ovary|2007
<1|~|~|~|~|Mortality|2027181|Ovary|2007
1-4|~|~|~|~|Incidence|7676265|Ovary|2007
10-14|0.5|0.9|0.7|70|Incidence|9995934|Ovary|2007
15-19|1.0|1.4|1.2|123|Incidence|10545338|Ovary|2007
5-9|0.2|0.4|0.3|29|Incidence|9473383|Ovary|2007
<1|~|~|~|~|Incidence|1991377|Ovary|2007
1-4|~|~|~|~|Mortality|15977965|Pancreas|2007
10-14|~|~|~|~|Mortality|20841042|Pancreas|2007
15-19|~|~|~|~|Mortality|22067816|Pancreas|2007
5-9|~|~|~|~|Mortality|19714611|Pancreas|2007
<1|~|~|~|~|Mortality|4147997|Pancreas|2007
1-4|~|~|~|~|Incidence|15697941|Pancreas|2007
10-14|~|~|~|~|Incidence|20483595|Pancreas|2007
15-19|~|~|~|~|Incidence|21687308|Pancreas|2007
5-9|~|~|~|~|Incidence|19371679|Pancreas|2007
<1|~|~|~|~|Incidence|4074983|Pancreas|2007
1-4|~|~|~|~|Mortality|8164877|Prostate|2007
10-14|~|~|~|~|Mortality|10670960|Prostate|2007
15-19|~|~|~|~|Mortality|11336490|Prostate|2007
5-9|~|~|~|~|Mortality|10073928|Prostate|2007
<1|~|~|~|~|Mortality|2120816|Prostate|2007
1-4|~|~|~|~|Incidence|8021676|Prostate|2007
10-14|~|~|~|~|Incidence|10487661|Prostate|2007
15-19|~|~|~|~|Incidence|11141970|Prostate|2007
5-9|~|~|~|~|Incidence|9898296|Prostate|2007
<1|~|~|~|~|Incidence|2083606|Prostate|2007
1-4|~|~|~|~|Mortality|15977965|Stomach|2007
10-14|~|~|~|~|Mortality|20841042|Stomach|2007
15-19|~|~|~|~|Mortality|22067816|Stomach|2007
5-9|~|~|~|~|Mortality|19714611|Stomach|2007
<1|~|~|~|~|Mortality|4147997|Stomach|2007
1-4|~|~|~|~|Incidence|15697941|Stomach|2007
10-14|~|~|~|~|Incidence|20483595|Stomach|2007
15-19|~|~|~|~|Incidence|21687308|Stomach|2007
5-9|~|~|~|~|Incidence|19371679|Stomach|2007
<1|~|~|~|~|Incidence|4074983|Stomach|2007
1-4|~|~|~|~|Mortality|8164877|Testis|2007
10-14|~|~|~|~|Mortality|10670960|Testis|2007
15-19|~|~|~|~|Mortality|11336490|Testis|2007
5-9|~|~|~|~|Mortality|10073928|Testis|2007
<1|~|~|~|~|Mortality|2120816|Testis|2007
1-4|0.2|0.5|0.3|28|Incidence|8021676|Testis|2007
10-14|0.2|0.4|0.3|32|Incidence|10487661|Testis|2007
15-19|3.2|3.9|3.6|396|Incidence|11141970|Testis|2007
5-9|~|~|~|~|Incidence|9898296|Testis|2007
<1|0.6|1.5|1.0|21|Incidence|2083606|Testis|2007
1-4|~|~|~|~|Mortality|15977965|Thyroid|2007
10-14|~|~|~|~|Mortality|20841042|Thyroid|2007
15-19|~|~|~|~|Mortality|22067816|Thyroid|2007
5-9|~|~|~|~|Mortality|19714611|Thyroid|2007
<1|~|~|~|~|Mortality|4147997|Thyroid|2007
1-4|~|~|~|~|Incidence|15697941|Thyroid|2007
10-14|0.5|0.7|0.6|114|Incidence|20483595|Thyroid|2007
