AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
0-14|2.5|3.4|3.0|172|III(a) Ependymomas and choroid plexus tumor|58106078|2004
0-19|2.4|3.1|2.7|213|III(a) Ependymomas and choroid plexus tumor|78301500|2004
0-14|16.3|18.5|17.4|1009|III(b) Astrocytomas|58106078|2004
0-19|15.5|17.3|16.3|1275|III(b) Astrocytomas|78301500|2004
0-14|7.0|8.5|7.7|448|III(c) Intracranial and intraspinal embryonal tumors|58106078|2004
0-19|6.0|7.1|6.5|507|III(c) Intracranial and intraspinal embryonal tumors|78301500|2004
0-14|4.9|6.1|5.5|317|III(d) Other gliomas|58106078|2004
0-19|4.7|5.7|5.2|402|III(d) Other gliomas|78301500|2004
0-14|0.6|1.0|0.8|46|III(e) Other specified intracranial & intraspinal neoplasms|58106078|2004
0-19|0.5|0.9|0.7|56|III(e) Other specified intracranial & intraspinal neoplasms|78301500|2004
0-14|0.4|0.8|0.6|33|III(f) Unspecified intracranial and intraspinal neoplasms|58106078|2004
0-19|0.4|0.7|0.5|40|III(f) Unspecified intracranial and intraspinal neoplasms|78301500|2004
0-14|10.0|11.7|10.8|634|IV Neuroblastoma and other peripheral nervous cell tumors|58106078|2004
0-19|7.7|9.0|8.3|652|IV Neuroblastoma and other peripheral nervous cell tumors|78301500|2004
0-14|9.8|11.4|10.6|621|IV(a) Neuroblastoma and ganglioneuroblastoma|58106078|2004
0-19|7.4|8.7|8.0|630|IV(a) Neuroblastoma and ganglioneuroblastoma|78301500|2004
0-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|58106078|2004
0-19|0.2|0.4|0.3|22|IV(b) Other peripheral nervous cell tumors|78301500|2004
0-14|9.7|11.4|10.5|615|IX Soft tissue and other extraosseous sarcomas|58106078|2004
0-19|11.2|12.7|11.9|941|IX Soft tissue and other extraosseous sarcomas|78301500|2004
0-14|4.2|5.3|4.7|273|IX(a) Rhabdomyosarcomas|58106078|2004
0-19|3.9|4.8|4.3|340|IX(a) Rhabdomyosarcomas|78301500|2004
0-14|0.9|1.5|1.2|70|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|58106078|2004
0-19|1.1|1.6|1.3|106|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|78301500|2004
0-14|~|~|~|~|IX(c) Kaposi sarcoma|58106078|2004
0-19|~|~|~|~|IX(c) Kaposi sarcoma|78301500|2004
0-14|3.1|4.1|3.6|212|IX(d) Other specified soft tissue sarcomas|58106078|2004
0-19|4.5|5.5|5.0|396|IX(d) Other specified soft tissue sarcomas|78301500|2004
0-14|0.8|1.3|1.0|59|IX(e) Unspecified soft tissue sarcomas|58106078|2004
0-19|1.0|1.5|1.2|96|IX(e) Unspecified soft tissue sarcomas|78301500|2004
0-14|~|~|~|~|Not classified by ICCC|58106078|2004
0-19|0.2|0.5|0.3|27|Not classified by ICCC|78301500|2004
0-14|3.6|4.7|4.1|245|V Retinoblastoma|58106078|2004
0-19|2.7|3.5|3.1|245|V Retinoblastoma|78301500|2004
0-14|7.4|8.8|8.1|470|VI Renal tumors|58106078|2004
0-19|5.9|7.1|6.5|504|VI Renal tumors|78301500|2004
0-14|7.0|8.5|7.7|448|VI(a) Nephroblastoma and other nonepithelial renal tumors|58106078|2004
0-19|5.3|6.4|5.9|456|VI(a) Nephroblastoma and other nonepithelial renal tumors|78301500|2004
0-14|0.2|0.6|0.4|22|VI(b) Renal carcinomas|58106078|2004
0-19|0.4|0.8|0.6|45|VI(b) Renal carcinomas|78301500|2004
0-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|58106078|2004
0-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|78301500|2004
0-14|2.2|3.0|2.6|151|VII Hepatic tumors|58106078|2004
0-19|2.0|2.7|2.3|184|VII Hepatic tumors|78301500|2004
0-14|1.9|2.6|2.2|131|VII(a) Hepatoblastoma|58106078|2004
0-19|1.4|2.0|1.7|131|VII(a) Hepatoblastoma|78301500|2004
0-14|~|~|~|~|VII(b) Hepatic carcinomas|58106078|2004
0-19|0.4|0.8|0.6|48|VII(b) Hepatic carcinomas|78301500|2004
0-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|58106078|2004
0-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|78301500|2004
0-14|6.3|7.7|7.0|413|VIII Malignant bone tumors|58106078|2004
0-19|8.3|9.6|8.9|707|VIII Malignant bone tumors|78301500|2004
0-14|3.6|4.6|4.1|241|VIII(a) Osteosarcomas|58106078|2004
0-19|4.6|5.7|5.1|407|VIII(a) Osteosarcomas|78301500|2004
0-14|0.2|0.4|0.3|16|VIII(b) Chondrosarcomas|58106078|2004
0-19|0.3|0.7|0.5|39|VIII(b) Chondrosarcomas|78301500|2004
0-14|1.9|2.7|2.3|134|VIII(c) Ewing tumor and related sarcomas of bone|58106078|2004
0-19|2.3|3.0|2.6|210|VIII(c) Ewing tumor and related sarcomas of bone|78301500|2004
0-14|0.2|0.5|0.3|17|VIII(d) Other specified malignant bone tumors|58106078|2004
0-19|0.3|0.7|0.5|38|VIII(d) Other specified malignant bone tumors|78301500|2004
0-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|58106078|2004
0-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|78301500|2004
0-14|5.0|6.2|5.6|329|X Germ cell, trophoblastic tumors & neoplasms of gonads|58106078|2004
0-19|10.2|11.7|11.0|875|X Germ cell, trophoblastic tumors & neoplasms of gonads|78301500|2004
0-14|1.2|1.9|1.5|89|X(a) Intracranial & intraspinal germ cell tumors|58106078|2004
0-19|1.4|2.0|1.7|137|X(a) Intracranial & intraspinal germ cell tumors|78301500|2004
0-14|1.0|1.6|1.3|77|X(b) Malignant extracranial & extragonadal germ cell tumors|58106078|2004
0-19|1.0|1.6|1.3|102|X(b) Malignant extracranial & extragonadal germ cell tumors|78301500|2004
0-14|2.0|2.9|2.4|144|X(c) Malignant gonadal germ cell tumors|58106078|2004
0-19|6.6|7.8|7.2|578|X(c) Malignant gonadal germ cell tumors|78301500|2004
0-14|~|~|~|~|X(d) Gonadal carcinomas|58106078|2004
0-19|0.3|0.6|0.4|32|X(d) Gonadal carcinomas|78301500|2004
0-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|58106078|2004
0-19|0.2|0.5|0.3|26|X(e) Other and unspecified malignant gonadal tumors|78301500|2004
0-14|6.7|8.1|7.4|436|XI Other malignant epithelial neoplasms and malignant melanomas|58106078|2004
0-19|17.0|18.8|17.9|1426|XI Other malignant epithelial neoplasms and malignant melanomas|78301500|2004
0-14|0.2|0.4|0.3|16|XI(a) Adrenocortical carcinomas|58106078|2004
0-19|0.1|0.4|0.2|19|XI(a) Adrenocortical carcinomas|78301500|2004
0-14|2.2|3.0|2.6|152|XI(b) Thyroid carcinomas|58106078|2004
0-19|6.2|7.3|6.7|536|XI(b) Thyroid carcinomas|78301500|2004
0-14|0.2|0.6|0.4|23|XI(c) Nasopharyngeal carcinomas|58106078|2004
0-19|0.4|0.8|0.6|45|XI(c) Nasopharyngeal carcinomas|78301500|2004
0-14|2.2|3.0|2.6|152|XI(d) Malignant melanomas|58106078|2004
0-19|6.0|7.1|6.5|522|XI(d) Malignant melanomas|78301500|2004
0-14|~|~|~|~|XI(e) Skin carcinomas|58106078|2004
0-19|~|~|~|~|XI(e) Skin carcinomas|78301500|2004
0-14|1.2|1.8|1.5|88|XI(f) Other and unspecified carcinomas|58106078|2004
0-19|3.3|4.2|3.7|298|XI(f) Other and unspecified carcinomas|78301500|2004
0-14|0.5|0.9|0.7|39|XII Other and unspecified malignant neoplasms|58106078|2004
0-19|0.6|1.0|0.8|65|XII Other and unspecified malignant neoplasms|78301500|2004
0-14|0.2|0.5|0.3|17|XII(a) Other specified malignant tumors|58106078|2004
0-19|0.2|0.5|0.4|28|XII(a) Other specified malignant tumors|78301500|2004
0-14|0.2|0.6|0.4|22|XII(b) Other unspecified malignant tumors|58106078|2004
0-19|0.3|0.6|0.5|37|XII(b) Other unspecified malignant tumors|78301500|2004
0-14|151.9|158.3|155.1|9040|All ICCC Groups Combined|57973098|2005
0-19|168.6|174.4|171.5|13570|All ICCC Groups Combined|78541923|2005
0-14|47.4|51.0|49.1|2859|I Leukemias, myeloproliferative & myelodysplastic diseases|57973098|2005
0-19|42.9|45.9|44.4|3480|I Leukemias, myeloproliferative & myelodysplastic diseases|78541923|2005
0-14|35.9|39.1|37.5|2177|I(a) Lymphoid leukemias|57973098|2005
0-19|30.8|33.3|32.0|2502|I(a) Lymphoid leukemias|78541923|2005
0-14|6.6|8.0|7.3|425|I(b) Acute myeloid leukemias|57973098|2005
0-19|6.9|8.1|7.5|594|I(b) Acute myeloid leukemias|78541923|2005
0-14|1.1|1.7|1.4|82|I(c) Chronic myeloproliferative diseases|57973098|2005
0-19|1.7|2.3|2.0|157|I(c) Chronic myeloproliferative diseases|78541923|2005
0-14|1.3|2.0|1.6|94|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|57973098|2005
0-19|1.3|1.9|1.6|124|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|78541923|2005
0-14|1.1|1.7|1.4|81|I(e) Unspecified and other specified leukemias|57973098|2005
0-19|1.1|1.6|1.3|103|I(e) Unspecified and other specified leukemias|78541923|2005
0-14|15.7|17.8|16.7|976|II Lymphomas and reticuloendothelial neoplasms|57973098|2005
0-19|24.7|26.9|25.8|2061|II Lymphomas and reticuloendothelial neoplasms|78541923|2005
0-14|5.2|6.5|5.8|342|II(a) Hodgkin lymphomas|57973098|2005
0-19|11.8|13.4|12.6|1014|II(a) Hodgkin lymphomas|78541923|2005
0-14|6.0|7.3|6.6|385|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|57973098|2005
0-19|8.5|9.8|9.1|726|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|78541923|2005
0-14|2.2|3.0|2.6|148|II(c) Burkitt lymphoma|57973098|2005
0-19|2.2|2.9|2.5|197|II(c) Burkitt lymphoma|78541923|2005
0-14|1.2|1.8|1.5|88|II(d) Miscellaneous lymphoreticular neoplasms|57973098|2005
0-19|1.0|1.5|1.2|98|II(d) Miscellaneous lymphoreticular neoplasms|78541923|2005
0-14|~|~|~|~|II(e) Unspecified lymphomas|57973098|2005
0-19|0.2|0.5|0.3|26|II(e) Unspecified lymphomas|78541923|2005
0-14|31.0|33.9|32.4|1877|III CNS and misc intracranial and intraspinal neoplasms|57973098|2005
0-19|28.4|30.9|29.6|2316|III CNS and misc intracranial and intraspinal neoplasms|78541923|2005
0-14|2.7|3.6|3.1|182|III(a) Ependymomas and choroid plexus tumor|57973098|2005
0-19|2.5|3.2|2.8|222|III(a) Ependymomas and choroid plexus tumor|78541923|2005
0-14|15.2|17.2|16.2|938|III(b) Astrocytomas|57973098|2005
0-19|14.2|15.9|15.0|1176|III(b) Astrocytomas|78541923|2005
0-14|6.3|7.7|7.0|402|III(c) Intracranial and intraspinal embryonal tumors|57973098|2005
0-19|5.3|6.4|5.8|454|III(c) Intracranial and intraspinal embryonal tumors|78541923|2005
0-14|4.5|5.7|5.1|291|III(d) Other gliomas|57973098|2005
0-19|4.4|5.3|4.8|377|III(d) Other gliomas|78541923|2005
0-14|0.4|0.8|0.6|35|III(e) Other specified intracranial & intraspinal neoplasms|57973098|2005
0-19|0.5|0.9|0.7|51|III(e) Other specified intracranial & intraspinal neoplasms|78541923|2005
0-14|0.3|0.7|0.5|29|III(f) Unspecified intracranial and intraspinal neoplasms|57973098|2005
0-19|0.3|0.6|0.5|36|III(f) Unspecified intracranial and intraspinal neoplasms|78541923|2005
0-14|11.0|12.8|11.9|701|IV Neuroblastoma and other peripheral nervous cell tumors|57973098|2005
0-19|8.5|9.8|9.1|719|IV Neuroblastoma and other peripheral nervous cell tumors|78541923|2005
0-14|10.9|12.7|11.8|693|IV(a) Neuroblastoma and ganglioneuroblastoma|57973098|2005
0-19|8.3|9.6|8.9|702|IV(a) Neuroblastoma and ganglioneuroblastoma|78541923|2005
0-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|57973098|2005
0-19|0.1|0.3|0.2|17|IV(b) Other peripheral nervous cell tumors|78541923|2005
0-14|9.7|11.4|10.5|612|IX Soft tissue and other extraosseous sarcomas|57973098|2005
0-19|11.6|13.2|12.4|981|IX Soft tissue and other extraosseous sarcomas|78541923|2005
0-14|4.7|5.9|5.3|306|IX(a) Rhabdomyosarcomas|57973098|2005
0-19|4.4|5.4|4.9|385|IX(a) Rhabdomyosarcomas|78541923|2005
0-14|0.9|1.4|1.1|65|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|57973098|2005
0-19|1.2|1.7|1.4|113|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|78541923|2005
0-14|~|~|~|~|IX(c) Kaposi sarcoma|57973098|2005
0-19|~|~|~|~|IX(c) Kaposi sarcoma|78541923|2005
0-14|2.8|3.8|3.3|192|IX(d) Other specified soft tissue sarcomas|57973098|2005
0-19|4.4|5.4|4.9|393|IX(d) Other specified soft tissue sarcomas|78541923|2005
0-14|0.6|1.1|0.8|46|IX(e) Unspecified soft tissue sarcomas|57973098|2005
0-19|0.9|1.3|1.1|86|IX(e) Unspecified soft tissue sarcomas|78541923|2005
0-14|0.2|0.5|0.3|17|Not classified by ICCC|57973098|2005
0-19|0.2|0.4|0.3|22|Not classified by ICCC|78541923|2005
0-14|3.3|4.3|3.8|222|V Retinoblastoma|57973098|2005
0-19|2.5|3.2|2.8|224|V Retinoblastoma|78541923|2005
0-14|7.5|9.0|8.2|478|VI Renal tumors|57973098|2005
0-19|6.1|7.3|6.7|524|VI Renal tumors|78541923|2005
0-14|7.1|8.5|7.8|455|VI(a) Nephroblastoma and other nonepithelial renal tumors|57973098|2005
0-19|5.5|6.6|6.0|471|VI(a) Nephroblastoma and other nonepithelial renal tumors|78541923|2005
0-14|0.2|0.5|0.3|19|VI(b) Renal carcinomas|57973098|2005
0-19|0.5|0.8|0.6|49|VI(b) Renal carcinomas|78541923|2005
0-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|57973098|2005
0-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|78541923|2005
0-14|2.0|2.8|2.4|139|VII Hepatic tumors|57973098|2005
0-19|1.7|2.3|2.0|159|VII Hepatic tumors|78541923|2005
0-14|1.5|2.3|1.9|111|VII(a) Hepatoblastoma|57973098|2005
0-19|1.2|1.7|1.4|112|VII(a) Hepatoblastoma|78541923|2005
0-14|0.3|0.6|0.4|26|VII(b) Hepatic carcinomas|57973098|2005
0-19|0.4|0.8|0.6|45|VII(b) Hepatic carcinomas|78541923|2005
0-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|57973098|2005
0-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|78541923|2005
0-14|6.2|7.6|6.9|402|VIII Malignant bone tumors|57973098|2005
0-19|8.2|9.5|8.9|705|VIII Malignant bone tumors|78541923|2005
0-14|3.3|4.3|3.8|222|VIII(a) Osteosarcomas|57973098|2005
0-19|4.5|5.5|5.0|400|VIII(a) Osteosarcomas|78541923|2005
0-14|~|~|~|~|VIII(b) Chondrosarcomas|57973098|2005
0-19|0.2|0.4|0.3|23|VIII(b) Chondrosarcomas|78541923|2005
0-14|2.0|2.8|2.4|139|VIII(c) Ewing tumor and related sarcomas of bone|57973098|2005
0-19|2.5|3.3|2.9|230|VIII(c) Ewing tumor and related sarcomas of bone|78541923|2005
0-14|0.2|0.5|0.3|20|VIII(d) Other specified malignant bone tumors|57973098|2005
0-19|0.3|0.6|0.4|35|VIII(d) Other specified malignant bone tumors|78541923|2005
0-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|57973098|2005
0-19|0.1|0.3|0.2|17|VIII(e) Unspecified malignant bone tumors|78541923|2005
0-14|4.9|6.2|5.5|326|X Germ cell, trophoblastic tumors & neoplasms of gonads|57973098|2005
0-19|10.6|12.1|11.4|917|X Germ cell, trophoblastic tumors & neoplasms of gonads|78541923|2005
0-14|1.1|1.7|1.4|79|X(a) Intracranial & intraspinal germ cell tumors|57973098|2005
0-19|1.3|1.9|1.6|127|X(a) Intracranial & intraspinal germ cell tumors|78541923|2005
0-14|1.3|1.9|1.6|93|X(b) Malignant extracranial & extragonadal germ cell tumors|57973098|2005
0-19|1.3|1.9|1.6|126|X(b) Malignant extracranial & extragonadal germ cell tumors|78541923|2005
0-14|1.9|2.7|2.3|137|X(c) Malignant gonadal germ cell tumors|57973098|2005
0-19|6.9|8.1|7.5|609|X(c) Malignant gonadal germ cell tumors|78541923|2005
0-14|~|~|~|~|X(d) Gonadal carcinomas|57973098|2005
0-19|0.2|0.5|0.3|28|X(d) Gonadal carcinomas|78541923|2005
0-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|57973098|2005
0-19|0.2|0.5|0.3|27|X(e) Other and unspecified malignant gonadal tumors|78541923|2005
0-14|6.1|7.5|6.8|399|XI Other malignant epithelial neoplasms and malignant melanomas|57973098|2005
0-19|16.3|18.2|17.2|1392|XI Other malignant epithelial neoplasms and malignant melanomas|78541923|2005
0-14|~|~|~|~|XI(a) Adrenocortical carcinomas|57973098|2005
0-19|~|~|~|~|XI(a) Adrenocortical carcinomas|78541923|2005
0-14|1.8|2.6|2.2|127|XI(b) Thyroid carcinomas|57973098|2005
0-19|5.4|6.5|6.0|483|XI(b) Thyroid carcinomas|78541923|2005
0-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|57973098|2005
0-19|0.3|0.6|0.4|32|XI(c) Nasopharyngeal carcinomas|78541923|2005
0-14|2.0|2.8|2.4|138|XI(d) Malignant melanomas|57973098|2005
0-19|5.9|7.1|6.5|522|XI(d) Malignant melanomas|78541923|2005
0-14|~|~|~|~|XI(e) Skin carcinomas|57973098|2005
0-19|~|~|~|~|XI(e) Skin carcinomas|78541923|2005
0-14|1.6|2.3|1.9|112|XI(f) Other and unspecified carcinomas|57973098|2005
0-19|3.7|4.6|4.2|336|XI(f) Other and unspecified carcinomas|78541923|2005
0-14|0.4|0.8|0.5|32|XII Other and unspecified malignant neoplasms|57973098|2005
0-19|0.7|1.1|0.9|70|XII Other and unspecified malignant neoplasms|78541923|2005
0-14|~|~|~|~|XII(a) Other specified malignant tumors|57973098|2005
0-19|0.2|0.5|0.3|27|XII(a) Other specified malignant tumors|78541923|2005
0-14|0.2|0.5|0.3|17|XII(b) Other unspecified malignant tumors|57973098|2005
0-19|0.4|0.7|0.5|43|XII(b) Other unspecified malignant tumors|78541923|2005
0-14|154.4|160.9|157.6|9188|All ICCC Groups Combined|57966135|2006
0-19|168.5|174.2|171.3|13618|All ICCC Groups Combined|78847112|2006
0-14|49.5|53.2|51.3|2986|I Leukemias, myeloproliferative & myelodysplastic diseases|57966135|2006
0-19|45.1|48.1|46.6|3666|I Leukemias, myeloproliferative & myelodysplastic diseases|78847112|2006
0-14|37.1|40.4|38.7|2251|I(a) Lymphoid leukemias|57966135|2006
0-19|31.9|34.5|33.2|2597|I(a) Lymphoid leukemias|78847112|2006
0-14|7.1|8.6|7.8|458|I(b) Acute myeloid leukemias|57966135|2006
0-19|7.5|8.8|8.1|647|I(b) Acute myeloid leukemias|78847112|2006
0-14|1.4|2.0|1.7|98|I(c) Chronic myeloproliferative diseases|57966135|2006
0-19|1.9|2.6|2.3|181|I(c) Chronic myeloproliferative diseases|78847112|2006
0-14|1.4|2.1|1.7|102|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|57966135|2006
0-19|1.4|1.9|1.6|130|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|78847112|2006
0-14|1.0|1.7|1.3|77|I(e) Unspecified and other specified leukemias|57966135|2006
0-19|1.1|1.7|1.4|111|I(e) Unspecified and other specified leukemias|78847112|2006
0-14|15.6|17.7|16.7|968|II Lymphomas and reticuloendothelial neoplasms|57966135|2006
0-19|23.8|26.0|24.8|1996|II Lymphomas and reticuloendothelial neoplasms|78847112|2006
0-14|5.4|6.7|6.1|353|II(a) Hodgkin lymphomas|57966135|2006
0-19|11.6|13.2|12.4|1004|II(a) Hodgkin lymphomas|78847112|2006
0-14|5.9|7.2|6.5|380|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|57966135|2006
0-19|8.0|9.3|8.6|691|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|78847112|2006
0-14|2.1|3.0|2.5|146|II(c) Burkitt lymphoma|57966135|2006
0-19|2.1|2.8|2.5|194|II(c) Burkitt lymphoma|78847112|2006
0-14|1.0|1.6|1.3|77|II(d) Miscellaneous lymphoreticular neoplasms|57966135|2006
0-19|0.9|1.3|1.1|84|II(d) Miscellaneous lymphoreticular neoplasms|78847112|2006
0-14|~|~|~|~|II(e) Unspecified lymphomas|57966135|2006
0-19|0.2|0.4|0.3|23|II(e) Unspecified lymphomas|78847112|2006
0-14|32.3|35.3|33.8|1957|III CNS and misc intracranial and intraspinal neoplasms|57966135|2006
0-19|29.8|32.2|31.0|2430|III CNS and misc intracranial and intraspinal neoplasms|78847112|2006
0-14|2.6|3.5|3.0|177|III(a) Ependymomas and choroid plexus tumor|57966135|2006
0-19|2.4|3.2|2.8|220|III(a) Ependymomas and choroid plexus tumor|78847112|2006
0-14|15.0|17.1|16.0|929|III(b) Astrocytomas|57966135|2006
0-19|14.2|16.0|15.1|1185|III(b) Astrocytomas|78847112|2006
0-14|7.1|8.5|7.8|450|III(c) Intracranial and intraspinal embryonal tumors|57966135|2006
0-19|5.9|7.0|6.4|501|III(c) Intracranial and intraspinal embryonal tumors|78847112|2006
0-14|5.2|6.4|5.8|331|III(d) Other gliomas|57966135|2006
0-19|5.0|6.0|5.5|429|III(d) Other gliomas|78847112|2006
0-14|0.4|0.8|0.5|31|III(e) Other specified intracranial & intraspinal neoplasms|57966135|2006
0-19|0.4|0.8|0.6|47|III(e) Other specified intracranial & intraspinal neoplasms|78847112|2006
0-14|0.5|0.9|0.7|39|III(f) Unspecified intracranial and intraspinal neoplasms|57966135|2006
0-19|0.5|0.8|0.6|48|III(f) Unspecified intracranial and intraspinal neoplasms|78847112|2006
0-14|9.4|11.0|10.2|600|IV Neuroblastoma and other peripheral nervous cell tumors|57966135|2006
0-19|7.2|8.4|7.8|614|IV Neuroblastoma and other peripheral nervous cell tumors|78847112|2006
0-14|9.3|10.9|10.1|595|IV(a) Neuroblastoma and ganglioneuroblastoma|57966135|2006
0-19|7.0|8.3|7.6|601|IV(a) Neuroblastoma and ganglioneuroblastoma|78847112|2006
0-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|57966135|2006
0-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|78847112|2006
0-14|9.7|11.4|10.5|614|IX Soft tissue and other extraosseous sarcomas|57966135|2006
0-19|10.8|12.3|11.5|918|IX Soft tissue and other extraosseous sarcomas|78847112|2006
0-14|4.3|5.5|4.9|283|IX(a) Rhabdomyosarcomas|57966135|2006
0-19|4.0|5.0|4.5|354|IX(a) Rhabdomyosarcomas|78847112|2006
0-14|0.9|1.5|1.2|68|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|57966135|2006
0-19|1.1|1.6|1.3|107|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|78847112|2006
0-14|~|~|~|~|IX(c) Kaposi sarcoma|57966135|2006
0-19|~|~|~|~|IX(c) Kaposi sarcoma|78847112|2006
0-14|3.0|3.9|3.4|200|IX(d) Other specified soft tissue sarcomas|57966135|2006
0-19|4.0|4.9|4.4|356|IX(d) Other specified soft tissue sarcomas|78847112|2006
0-14|0.8|1.3|1.0|61|IX(e) Unspecified soft tissue sarcomas|57966135|2006
0-19|1.0|1.5|1.2|97|IX(e) Unspecified soft tissue sarcomas|78847112|2006
0-14|~|~|~|~|Not classified by ICCC|57966135|2006
0-19|0.2|0.5|0.3|25|Not classified by ICCC|78847112|2006
0-14|3.4|4.5|3.9|234|V Retinoblastoma|57966135|2006
0-19|2.6|3.4|3.0|235|V Retinoblastoma|78847112|2006
0-14|7.5|9.0|8.3|483|VI Renal tumors|57966135|2006
0-19|6.2|7.3|6.7|528|VI Renal tumors|78847112|2006
0-14|7.2|8.6|7.9|460|VI(a) Nephroblastoma and other nonepithelial renal tumors|57966135|2006
0-19|5.4|6.5|6.0|467|VI(a) Nephroblastoma and other nonepithelial renal tumors|78847112|2006
0-14|0.2|0.5|0.3|19|VI(b) Renal carcinomas|57966135|2006
0-19|0.5|0.9|0.7|56|VI(b) Renal carcinomas|78847112|2006
0-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|57966135|2006
0-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|78847112|2006
0-14|2.2|3.0|2.6|152|VII Hepatic tumors|57966135|2006
0-19|2.0|2.6|2.3|181|VII Hepatic tumors|78847112|2006
0-14|1.8|2.5|2.1|127|VII(a) Hepatoblastoma|57966135|2006
0-19|1.4|1.9|1.6|129|VII(a) Hepatoblastoma|78847112|2006
0-14|0.2|0.5|0.4|21|VII(b) Hepatic carcinomas|57966135|2006
0-19|0.4|0.8|0.6|48|VII(b) Hepatic carcinomas|78847112|2006
0-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|57966135|2006
0-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|78847112|2006
0-14|6.5|7.9|7.1|414|VIII Malignant bone tumors|57966135|2006
0-19|8.7|10.0|9.3|746|VIII Malignant bone tumors|78847112|2006
0-14|3.6|4.7|4.1|238|VIII(a) Osteosarcomas|57966135|2006
0-19|4.9|5.9|5.4|430|VIII(a) Osteosarcomas|78847112|2006
0-14|~|~|~|~|VIII(b) Chondrosarcomas|57966135|2006
0-19|0.1|0.3|0.2|16|VIII(b) Chondrosarcomas|78847112|2006
0-14|2.0|2.8|2.4|139|VIII(c) Ewing tumor and related sarcomas of bone|57966135|2006
0-19|2.7|3.5|3.1|243|VIII(c) Ewing tumor and related sarcomas of bone|78847112|2006
0-14|0.2|0.5|0.3|18|VIII(d) Other specified malignant bone tumors|57966135|2006
0-19|0.4|0.7|0.5|42|VIII(d) Other specified malignant bone tumors|78847112|2006
0-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|57966135|2006
0-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|78847112|2006
0-14|4.5|5.7|5.1|299|X Germ cell, trophoblastic tumors & neoplasms of gonads|57966135|2006
0-19|9.5|10.9|10.2|828|X Germ cell, trophoblastic tumors & neoplasms of gonads|78847112|2006
0-14|1.0|1.6|1.3|74|X(a) Intracranial & intraspinal germ cell tumors|57966135|2006
0-19|1.2|1.8|1.5|120|X(a) Intracranial & intraspinal germ cell tumors|78847112|2006
0-14|1.2|1.8|1.5|87|X(b) Malignant extracranial & extragonadal germ cell tumors|57966135|2006
0-19|1.2|1.8|1.5|120|X(b) Malignant extracranial & extragonadal germ cell tumors|78847112|2006
0-14|1.7|2.5|2.1|123|X(c) Malignant gonadal germ cell tumors|57966135|2006
0-19|5.9|7.0|6.4|523|X(c) Malignant gonadal germ cell tumors|78847112|2006
0-14|~|~|~|~|X(d) Gonadal carcinomas|57966135|2006
0-19|0.3|0.6|0.5|39|X(d) Gonadal carcinomas|78847112|2006
0-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|57966135|2006
0-19|0.2|0.5|0.3|26|X(e) Other and unspecified malignant gonadal tumors|78847112|2006
0-14|6.6|8.0|7.3|426|XI Other malignant epithelial neoplasms and malignant melanomas|57966135|2006
0-19|16.1|17.9|17.0|1381|XI Other malignant epithelial neoplasms and malignant melanomas|78847112|2006
